OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions
A5047939090,https://orcid.org/0000-0003-0241-6942,Martin J. Zuckermann,"['M J Zuckermann', 'M Zuckermann', 'M. J Zuckermann', 'M. J. ZUCKERMANN', 'M. J. Zuckermann', 'M. Zuckermann', 'M.J Zuckermann', 'M.J. Zuckermann', 'MARTIN J. ZUCKERMANN', 'Martin J Zuckermann', 'Martin J. Zuckermann', 'Martin Zuckermann', 'Zuckermann, M. J.', 'Zuckermann, Martin J.']",281,9808,48,30
A5038776364,https://orcid.org/0000-0001-9372-9754,Zachary R. Nunn,"['Nunn, Zachary Raymond', 'Zachary Nunn', 'Zachary R. Nunn']",6,155,3,1
A5069666333,,David McVea,"['David A. McVea', 'David McVea']",26,321,5,3
A5053442069,https://orcid.org/0000-0001-5503-867X,Zeerak Talat,"['Talat, Zeerak', 'Zeerak Talat']",73,821,11,39
A5094078286,,Soroush Torkamannejad,"['Soroush Torkamannejad', 'Soroush Torkamannejad (22271436)']",5,5,1,1
A5041065053,https://orcid.org/0000-0003-3370-3565,Shuhan Jiang,"['S Jiang', 'S. Y. N. Jiang', 'Shu-Han Jiang', 'Shuhan Jiang']",63,904,17,26
A5056580459,https://orcid.org/0000-0003-4853-3482,Einar Gabbassov,"['Einar Gabbassov', 'Gabbassov, Einar']",5,35,2,3
A5038027789,https://orcid.org/0009-0005-6595-2242,Aditya Prasanna,"['A Laxmi Prasanna', 'Aditya D Venkatesh Prasanna', 'Aditya Prasanna']",7,5,1,5
A5000796819,https://orcid.org/0000-0003-0187-364X,Dana M. Cochrane,['Dana M. Cochrane'],10,296,7,5
A5014586329,https://orcid.org/0000-0003-4376-3350,Abigail H. Feresten,"['Abigail Feresten', 'Abigail H Feresten', 'Abigail H. Feresten', 'Feresten, Abigail Helms', 'Feresten,, Abigail']",7,122,3,2
A5008289857,https://orcid.org/0000-0002-8012-2213,Fatemeh Salehian Kia,['Fatemeh Salehian Kia'],10,130,6,4
A5056905026,,Tom Walker,"['T. T. Walker', 'T. Walker', 'TOM WALKER', 'Tom Walker']",10,145,4,2
A5072086494,https://orcid.org/0000-0002-9064-4621,Alaa R. Alameldeen,"['A. R. Alameldeen', 'A.R. Alameldeen', 'Alaa Alameldeen', 'Alaa R. Alameldeen', 'Alameldeen, A. R.', 'Alameldeen, Alaa', 'Alameldeen, Alaa R.']",67,5172,31,7
A5092102003,https://orcid.org/0000-0001-8128-5578,Numaira Obaid,['Numaira Obaid'],5,10,1,2
A5071448022,https://orcid.org/0009-0006-6772-0186,Monika Gyöngyi Macias-Honti,"['Monika Gyongyi Macias Honti', 'Monika Gyöngyi Macias-Honti']",2,72,2,4
A5099471483,https://orcid.org/0009-0000-8826-9810,Anthony Fers-Lidou,['Anthony Fers-Lidou'],3,20,2,1
A5067159163,https://orcid.org/0000-0003-2781-8374,Jiayue Chen,"['Jia-Yue Chen', 'Jia-yue Chen', 'Jiayue Chen', 'Jiayue Chen,']",81,957,20,32
A5078756185,https://orcid.org/0000-0002-9736-6230,Madison B. Harvey,"['Harvey, Madison B', 'Madison B. Harvey']",15,40,4,1
A5068988348,,Marco Farren‐Dai,"['Farren-Dai, Marco', 'Farren-Dai, Marco I.', 'Farren‐Dai, Marco', 'Marco Farren-Dai', 'Marco Farren‐Dai', 'Marco I. Farren-Dai']",14,134,6,4
A5042531749,,Megan Wong,"['M WONG', 'M. Wong', 'Megan Wong', 'Wong, Megan Barbara']",7,30,3,1
A5094737203,,Kirstin Sendur,['Kirstin Sendur'],1,0,0,7
A5074013039,https://orcid.org/0000-0003-1266-6697,Tanya L. Procyshyn,"['Procyshyn, Tanya', 'Procyshyn, Tanya L', 'Procyshyn, Tanya L.', 'T. L. Procyshyn', 'T. Procyshyn', 'Tanya L Procyshyn', 'Tanya L. Procyshyn', 'Tanya Procyshyn']",49,347,10,4
A5051542209,https://orcid.org/0000-0003-0844-7088,Suzanne K. Hilgendorf,"['SUZANNE K. HILGENDORF', 'Suzanne Hilgendorf', 'Suzanne K. Hilgendorf']",27,356,9,3
A5100365746,https://orcid.org/0000-0002-9855-003X,Ke Zhang,"['Ke Zhang', 'Zhang, Ke']",14,575,8,6
A5052762714,,Hooman Zabeti,"['Hooman Zabeti', 'Zabeti, Hooman']",13,107,6,2
A5045313841,,Amanda Lastoria,['Amanda Lastoria'],2,1,1,1
A5103161891,https://orcid.org/0000-0003-0721-2033,Ana Radojičić,"['Ana Radojičić', 'Radojicic, Ana']",4,393,3,2
A5087519323,https://orcid.org/0000-0002-9008-2163,Stephanie Harvard,"['Harvard, Stephanie', 'S. Harvard', 'STEPHANIE S. HARVARD', 'Stephanie Harvard', 'Stephanie S Harvard', 'Stephanie S. Harvard']",59,563,13,25
A5088674639,,Chelsey Currie,"['Chelsey Currie', 'Chelsey E. Currie']",5,10,2,2
A5014222179,https://orcid.org/0000-0002-8399-7410,Donghuan Lu,"['Donghuan Lu', 'Lu, Donghuan']",90,2703,22,6
A5031306422,https://orcid.org/0000-0003-4281-6369,Donya Naz Divsalar,"['D. N. Divsalar', 'Divsalar, Donya Naz', 'Donya Naz Divsalar']",15,115,6,3
A5069552167,,Stephanie Cooper,"['S Cooper', 'S. COOPER', 'S. Cooper', 'STEPHANIE L. COOPER', 'Stephanie Cooper', 'Stephanie L Cooper', 'Stephanie L. Cooper']",65,1554,17,27
A5074986437,,Hadar Khasrow Hamid,"['Hadar Khasrow Hamid', 'Hamid, Hadar']",3,98,1,1
A5071665398,,Monakshi Sawhney,"['M. Sawhney', 'M.P.S. Sawhney', 'Monakshi (Mona) Sawhney', 'Monakshi Sawhney']",21,137,7,9
A5093134116,,Par Ashley Armitage,['Par Ashley Armitage'],1,1,1,1
A5048741949,,Gregory J. Christie,"['Gregory Christie', 'Gregory J. Christie', 'Gregory James Christie']",33,783,13,5
A5092063569,,Numaira Obaid,['Numaira Obaid'],4,6,2,2
A5010982402,,Jonathan R. Kesselman,"['JONATHAN KESSELMAN', 'JONATHAN R. KESSELMAN', 'Jonathan Kesselman', 'Jonathan R. Kesselman', 'Jonathan Rhys Kesselman', 'Kesselman, Jonathan R.']",63,781,12,3
A5054013583,https://orcid.org/0000-0003-0566-1783,Jimmy A. Young,"['J. A. Young', 'J. Young', 'James A. Young', 'James Young', 'Jimmy A Young', 'Jimmy A. Young', 'Jimmy Young', 'Young, James']",58,1180,13,10
A5090850435,https://orcid.org/0000-0002-7737-9173,Diane Gromala,"['D. Gromala', 'DIANE GROMALA', 'Diane Gromala', 'Gromala Diane', 'Gromala, Diane', 'Gromala, Diane J.']",116,2299,22,5
A5109115158,,John D. Jones,"['J D Jones', 'J JONES', 'J Jones', 'J. D. Jones', 'J. Jones', 'J.D. Jones', 'JOHN DEWEY JONES', 'JOHN JONES', 'John D Jones', 'John D. Jones', 'John Dewey Jones', 'John Jones', 'John\xa0Dewey Jones', 'Jones, John']",115,1519,19,24
A5081292856,https://orcid.org/0000-0002-0098-8341,Danielle Smith,"['D. Alden Smith', 'Danielle A. Smith', 'Danielle Smith', 'Smith, D. M.']",27,442,9,13
A5100784734,https://orcid.org/0000-0001-8788-2453,Xin Tong,"['Lizheng Sha', 'Tong Xi', 'Tong, Xin', 'Tong, Xing', 'X. H. Tong', 'X. Tong', 'X.H. Tong', 'XIN TONG', 'Xi, Tong', 'Xin Tong', 'Xing Hua Tong', 'Xing Tong']",531,13455,65,107
A5104301765,,Kevin Joseph,"['Joseph, Kevin', 'Kevin Joseph']",7,46,3,6
A5102810474,https://orcid.org/0000-0003-1806-577X,Kwangjin Park,"['Kwang-Jin Park', 'KwangJin Park', 'Kwangjin Park']",91,854,16,14
A5088032409,https://orcid.org/0000-0003-4326-2783,Sujane Kandasamy,"['Kandasamy, Sujane', 'S. Kandasamy', 'Sujane Kandasamy']",97,936,16,24
A5025849444,https://orcid.org/0000-0002-7198-8541,Sol Kang,"['Aiden Kang', 'S. Y. Catherine Kang', 'Sol Kang']",5,33,3,2
A5100726378,https://orcid.org/0000-0003-4362-326X,Joey Huang,"['Huang, Joey', 'Joey Huang']",35,413,9,7
A5050994610,https://orcid.org/0000-0001-8385-4332,Abraham M. Hashemian,"['Abraham M. Hashemian', 'Hashemian, Abraham M.']",12,291,8,2
A5034355956,,Maria Juanita Mora,['Maria Juanita Mora'],1,0,0,1
A5114020486,,LT Elliott,['LT Elliott'],2,13,1,1
A5101753148,https://orcid.org/0000-0001-7660-9523,Ankit Gupta,"['A GUPTA', 'A Gupta', 'A. Gupta', 'Ankit Gupta', 'Gupta, Ankit']",26,157,7,6
A5113304894,,Xinyue Pang,['Xinyue Pang'],1,0,0,1
A5113009577,,Hanyang Hu,"['Hanyang Hu', 'Hu, Hanyang']",2,8,1,1
A5027913926,https://orcid.org/0000-0003-1885-8817,Gaeun Lee,"['Gaeun Lee', 'Himchan Jeong', 'Hongjun Ha']",7,13,2,5
A5021891417,,Selena Neumark Hermann,['Selena Neumark Hermann'],2,1,1,1
A5070606710,https://orcid.org/0000-0003-0480-7816,Xue Bin Peng,"['Peng XUE', 'Peng Xue', 'Peng, Xue', 'Peng, Xue Bin', 'Xue Bin Peng', 'Xue Peng']",55,3631,24,10
A5074257141,,D. Stead,['D. Stead'],1,1,1,1
A5077973621,https://orcid.org/0000-0001-5103-1307,Nadine Attewell,"['Attewell, Nadine', 'Nadine Attewell']",32,72,5,4
A5103091031,https://orcid.org/0000-0002-4535-7199,Laura Wang,['Laura Wang'],27,941,8,15
A5058996841,https://orcid.org/0000-0002-8980-9062,Maarten Brinkerink,"['Brinkerink, M. (Maarten)', 'Brinkerink, Maarten', 'Maarten Brinkerink', 'Maarten\u202fBrinkerink']",537,948,13,13
A5068429289,https://orcid.org/0000-0002-0128-0492,Avid Khamenehfar,"['A. Khamenehfar', 'Avid Khamenehfar']",14,148,5,4
A5002323493,https://orcid.org/0000-0002-2457-1559,Plaban Jyoti Sarma,"['P.J. Sarma', 'Plaban J. Sarma', 'Plaban Jyoti Sarma', 'Sarma, Plaban J.', 'Sarma, Plaban Jyoti']",42,241,10,5
A5100365355,https://orcid.org/0000-0002-1708-3573,Jiaqi Wang,"['Jia-Qi Wang', 'JiaQi Wang', 'Jiaqi Wang', 'Wang Jiaqi', 'Wang, Jiaqi', 'Yang Yang']",99,1954,14,48
A5039492474,https://orcid.org/0009-0007-2383-8841,S. Ejtemaee,"['Ejtemaee, S.', 'S. Ejtemaee']",2,7,1,1
