,name1,name2,id1,id2,similarity_score
104,sarah l brown,sarah brown,A5103398045,A5080535134,92
105,maryam bari,maryam bavarian,A5108198440,A5005074374,85
106,sara bavarian,maryam bavarian,A5013660449,A5005074374,86
107,ian bushfield,ian bushfeld,A5039683738,A5066128999,96
108,jil a busmann,jil busmann,A5072224327,A5074527350,92
109,amin bahrami,m bahrami,A5077834707,A5074492767,86
110,jeremy r brown,jeremy brown,A5109653577,A5102838917,92
111,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
112,alishba bibal,alishba bilal,A5115512232,A5112957369,92
113,angela brooks-wilson,angela r brooks-wilson,A5126470113,A5122482003,95
114,joão l bastos,joão luiz bastos,A5133659538,A5076619980,90
115,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
116,z brumme,zl brumme,A5075252668,A5084001641,94
117,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
118,jean-christophe belisle-pipon,jean‐christophe belisle‐pipon,A5127781859,A5133561051,93
119,jean-christophe belisle-pipon,jean-christophe bélisle-pipon,A5127781859,A5125489798,97
120,tanya brown,tanya m brown,A5133541008,A5102916892,92
121,jean‐christophe belisle‐pipon,jean-christophe bélisle-pipon,A5133561051,A5125489798,90
122,hong chen,hongwen chen,A5100420388,A5082579130,86
123,hong chen,cong chen,A5100420388,A5100427128,89
124,hong chen,long chen,A5100420388,A5100336427,89
125,qing chen,ning chen,A5100371368,A5100446681,89
126,qing chen,qinghua chen,A5100371368,A5100745137,86
127,qing chen,ling chen,A5100371368,A5100411084,89
128,qing chen,jing chen,A5100371368,A5046422844,89
129,qing chen,ying chen,A5100371368,A5063849486,89
130,ji‐xin cheng,xin cheng,A5086153927,A5101587732,86
131,lieping chen,ling chen,A5035295243,A5100411084,86
132,lin cai,yin cai,A5061150224,A5045522569,86
133,john j clague,j j clague,A5090873433,A5000296592,87
134,john j clague,john clague,A5090873433,A5110164742,92
135,david campbell,david a campbell,A5065534835,A5022135015,93
136,m campbell,a campbell,A5023748369,A5042030650,90
137,daniel t chang,daniel chiang,A5084612623,A5006979877,89
138,daniel t chang,daniel chang,A5084612623,A5044668950,92
139,yi‐ting chen,yi-ting chen,A5100348260,A5100348255,92
140,yi‐ting chen,yiting chen,A5100348260,A5125353864,96
141,yi‐ting chen,ying chen,A5100348260,A5063849486,86
142,xin chen,xin cheng,A5100363059,A5101587732,94
143,xin chen,xi chen,A5100363059,A5100329932,93
144,xin chen,xing cheng,A5100363059,A5101846669,89
145,xin chen,xiwen chen,A5100363059,A5100657341,89
146,li chen,li cheng,A5100379262,A5100753413,93
147,li chen,lei chen,A5100379262,A5100333516,93
148,li chen,ling chen,A5100379262,A5100411084,88
149,li chen,xi chen,A5100379262,A5100329932,86
150,li chen,si chen,A5100379262,A5100366165,86
151,david w chan,david w cheung,A5075070960,A5108756735,85
152,david w chan,david chang,A5075070960,A5037084000,87
153,matthew c cheung,matthew p cheng,A5024269299,A5033873670,90
154,jeffrey chan,jeffrey chu,A5071422010,A5024509996,87
155,jennifer a chan,jennifer chang,A5067228740,A5101455429,90
156,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
157,yu‐chun chen,yi‐chun chen,A5054214375,A5100688437,92
158,yu‐chun chen,yuchun chen,A5054214375,A5101769288,96
159,michael b cohen,michael c chen,A5013326292,A5101903942,90
160,michael b cohen,michael chen,A5013326292,A5100705941,89
161,bo chen,yubo chen,A5100427253,A5101939525,88
162,bo chen,b chen,A5100427253,A5121488345,92
163,bo chen,mo chen,A5100427253,A5100387253,86
164,bo chen,sibo chen,A5100427253,A5101582225,88
165,li cheng,lü cheng,A5100753413,A5103675248,88
166,li cheng,lei chen,A5100753413,A5100333516,88
167,ning chen,ling chen,A5100446681,A5100411084,89
168,ning chen,jing chen,A5100446681,A5046422844,89
169,ning chen,ying chen,A5100446681,A5063849486,89
170,isabelle m côté,isabelle côté,A5048073547,A5087962548,93
171,jie chen,j chen,A5072575185,A5107886267,86
172,andrew cox,andrew chow,A5037580930,A5012879127,86
173,bernard j crespi,bernard crespi,A5089912926,A5130864836,93
174,colin d campbell,colin campbell,A5030090181,A5110199596,93
175,caroline colijn,caroline coljin,A5091754800,A5019122524,93
