,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
2,joshua d alampi,josh alampi,A5005530879,A5064096264,85
3,mark a brockman,ma brockman,A5021397351,A5062945775,85
4,christopher beh,christopher buse,A5012256170,A5118970217,90
5,tom c brown,tom brown,A5112796676,A5078745916,90
6,andreǐ a bulatov,andreĭ a bulatov,A5103266587,A5108247017,94
7,megan barker,megan k barker,A5056468452,A5054202306,92
8,tim u h baumeister,tim baumeister,A5019595229,A5058323325,88
9,andreea bratu,andreea barbu,A5064542404,A5098667658,85
10,jil a busmann,jil busmann,A5072224327,A5074527350,92
11,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
12,alishba bibal,alishba bilal,A5115512232,A5112957369,92
13,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
14,z brumme,zl brumme,A5075252668,A5084001641,94
15,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
16,john j clague,j j clague,A5090873433,A5000296592,87
17,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
18,caroline colijn,caroline coljin,A5091754800,A5019122524,93
19,caroline colijn,caroline colijin,A5091754800,A5092252314,97
20,yuxi chen,xi chen,A5100764265,A5100690182,88
21,brian e conway,brian conway,A5109163734,A5101537673,92
22,david c clarke,dave c clarke,A5062270975,A5112840346,89
23,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
24,anita t coté,anita coté,A5072214202,A5066224186,91
25,stephen choi,stephen collis,A5046677225,A5015481958,85
26,daniel chang,daniel chiang,A5044668950,A5006979877,96
27,si chen,xi chen,A5100366176,A5100690182,86
28,qimin chen,imin chen,A5069419461,A5024124555,95
29,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
30,a carr,a carter,A5081082111,A5004107679,86
31,stephanie j cooper,stephanie cooper,A5103638663,A5111618796,94
32,dave clarke,dave c clarke,A5075735110,A5112840346,92
33,caroline coljin,caroline colijin,A5019122524,A5092252314,97
34,hugo cardoso,hugo fv cardoso,A5102492080,A5078265907,89
35,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
36,garth w p davies,garth davies,A5061377171,A5104079126,86
37,andréanne doyon,andré doyon,A5020845547,A5066893131,85
38,andréanne doyon,andreanne doyon,A5020845547,A5106389029,93
39,thomas donaldson,tom donaldson,A5002800300,A5046128130,90
40,clara vada etter,clara v etter,A5077611536,A5068946645,90
41,richard g frank,richard frank,A5018486913,A5030367930,93
42,faranak farzan,farnak farzan,A5015821361,A5016330282,96
43,andrei v frolov,andrei v frolovand,A5036300411,A5047401072,91
44,henry a finn,henry finn,A5029860397,A5080374417,91
45,ron ferguson,arron ferguson,A5113563751,A5037222281,92
46,sina fatolahzadeh,s fatolahzadeh,A5028619456,A5106384340,90
47,susanne w fietz,w susanne fietz,A5093010858,A5052771299,87
48,biruté m f galdikas,birute mary f galdikas,A5110301419,A5110389729,88
49,alissa greer,alissa m greer,A5037509232,A5102942084,92
50,daniel r y gan,daniel ry gan,A5075926575,A5091261371,96
51,thomas gunton,tom gunton,A5059560375,A5113412320,87
52,shreemouna gurung,sheemouna gurung,A5088826260,A5114125674,97
53,bhargav gadhvi,bhargav gadhavi,A5024718097,A5067698309,97
54,h dan gibson,h daniel gibson,A5062475859,A5022558865,89
55,wanhaoyi geng,wanhayoi geng,A5069750402,A5058844042,92
56,fh garcia,f h garcia,A5085198235,A5006750915,95
57,andrew b harris,andrew harries,A5011644095,A5002454592,90
58,michael d hathaway,michael j hathaway,A5035254678,A5006660476,94
59,x joan hu,joan hu,A5045961414,A5111259476,88
60,carlos a sierra hernandez,carlos sierra hernandez,A5019781908,A5002843048,96
61,k hudson,kh hudson,A5006846901,A5035794293,94
62,kassia hayek,kassia hyek,A5009358287,A5086460354,96
63,jonathan han,jonathan hartt,A5081367616,A5093496417,85
64,ric hohn,ric e hohn,A5082680867,A5110946665,89
65,roumi ilieva,roumiana ilieva,A5059056746,A5107019523,89
66,valentin jaumouillé,valentin jamouille,A5001004675,A5108922685,92
67,ng jensen,g jensen,A5086281143,A5003321247,94
68,worawee janpongsri,worawee japongsori,A5062405993,A5001455481,94
69,dominic j jaworski,dominic jaworiski,A5085766291,A5119544262,91
70,mohammad mahdi jahanara,mohammadmahdi jahanara,A5069061274,A5089156226,98
71,katrina koehn,katerina kwon,A5013903764,A5113195379,85
72,joshua kanaganayagam,josh kanaganayagam,A5039370835,A5034727559,95
73,raminder kaur,raminderjeet kaur,A5114211742,A5028102520,87
74,jacob kemp,jacob m kemp,A5103256265,A5087289082,91
75,nn kinloch,n kinloch,A5055547267,A5071349214,95
76,kauʻi keliipio,m kaui keliipio,A5059859936,A5045101026,90
77,charles krieger,charles kriel,A5064602809,A5098723401,86
78,angela kaida,angela kaidaon,A5091089188,A5095333481,92
79,b liu,b lu,A5114378471,A5067826387,89
80,cheng li,cheng lit,A5100354297,A5094001550,94
