Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches,fi_ln
"Mori, D.",665,2025,39801,59.9,3.67,95,56779709600,https://www.scopus.com/authid/detail.url?authorId=56779709600,Simon Fraser University,mori,m,d,d mori,[],d mori
"van Nieuwkoop, J.",559,2023,42827,76.6,4.57,108,55573054900,https://www.scopus.com/authid/detail.url?authorId=55573054900,Simon Fraser University,van nieuwkoop,v,j,j van nieuwkoop,[],j van nieuwkoop
"Horton, Arthur J.",494,2023,35783,72.4,4.23,95,36898362900,https://www.scopus.com/authid/detail.url?authorId=36898362900,Simon Fraser University,horton,h,arthur j,arthur j horton,[],a horton
"Bahrasemani, H.",466,2025,26153,56.1,3.44,86,57194525595,https://www.scopus.com/authid/detail.url?authorId=57194525595,Simon Fraser University,bahrasemani,b,h,h bahrasemani,[],h bahrasemani
"Jaeger, B. P.",423,2025,12685,30.0,2.85,55,57210340534,https://www.scopus.com/authid/detail.url?authorId=57210340534,Simon Fraser University,jaeger,j,b p,b p jaeger,[],b jaeger
"Drechsler, E.",359,2025,14113,39.3,3.18,99,56611843700,https://www.scopus.com/authid/detail.url?authorId=56611843700,Simon Fraser University,drechsler,d,e,e drechsler,[],e drechsler
"Temple, D.",313,2023,21763,69.5,4.01,80,56893265300,https://www.scopus.com/authid/detail.url?authorId=56893265300,Simon Fraser University,temple,t,d,d temple,[],d temple
"Sarunic, Marinko V.",127,2024,3024,23.8,1.44,43,6508176087,https://www.scopus.com/authid/detail.url?authorId=6508176087,University College London,sarunic,s,marinko v,marinko v sarunic,[],m sarunic
"Filimowicz, Michael A.",51,2024,45,0.9,0.19,4,36008420400,https://www.scopus.com/authid/detail.url?authorId=36008420400,Simon Fraser University,filimowicz,f,michael a,michael a filimowicz,[],m filimowicz
"Sarrafi, Iman",43,2023,4011,93.3,5.26,24,36895181400,https://www.scopus.com/authid/detail.url?authorId=36895181400,Simon Fraser University,sarrafi,s,iman,iman sarrafi,[],i sarrafi
"Sahinalp, Suleyman Cenk",38,2023,1909,50.2,4.08,22,57221592020,https://www.scopus.com/authid/detail.url?authorId=57221592020,National Institutes of Health,sahinalp,s,suleyman cenk,suleyman cenk sahinalp,[],s sahinalp
"M. Webster, Glenys M.",36,2023,2614,72.6,2.71,33,55553738719,https://www.scopus.com/authid/detail.url?authorId=55553738719,Simon Fraser University,m webster,m,glenys m,glenys m m webster,[],g m webster
"Marlene Marie Moretti, Marlene M.",35,2025,556,15.9,1.61,28,7102632689,https://www.scopus.com/authid/detail.url?authorId=7102632689,Simon Fraser University,marlene marie moretti,m,marlene m,marlene m marlene marie moretti,[],m marlene marie moretti
"Michael E. Hayden, Michael Edward",33,2025,1030,31.2,1.7,29,55641501800,https://www.scopus.com/authid/detail.url?authorId=55641501800,Simon Fraser University,michael e hayden,m,michael edward,michael edward michael e hayden,[],m michael e hayden
"Cenk Sahinalp, S. Cenk",31,2020,4698,151.5,5.82,57,6603800467,https://www.scopus.com/authid/detail.url?authorId=6603800467,Indiana University Bloomington,cenk sahinalp,c,s cenk,s cenk cenk sahinalp,[],s cenk sahinalp
"Gong, Wei",30,2020,911,30.4,1.97,32,57190345166,https://www.scopus.com/authid/detail.url?authorId=57190345166,University of Science and Technology of China,gong,g,wei,wei gong,[],w gong
"Gavrielides, Theo",26,2021,146,5.6,1.82,11,24070323000,https://www.scopus.com/authid/detail.url?authorId=24070323000,Unknown affiliation,gavrielides,g,theo,theo gavrielides,[],t gavrielides
"Lord Ferguson, Sarah T.",25,2025,268,10.7,1.31,10,57200553348,https://www.scopus.com/authid/detail.url?authorId=57200553348,Simon Fraser University,lord ferguson,l,sarah t,sarah t lord ferguson,[],s lord ferguson
"Loken Thornton, Wendy",24,2023,343,14.3,0.86,15,22235481700,https://www.scopus.com/authid/detail.url?authorId=22235481700,Simon Fraser University,loken thornton,l,wendy,wendy loken thornton,[],w loken thornton
"Yalcin, Ozge Nilay",21,2024,267,12.7,0.83,9,57203034300,https://www.scopus.com/authid/detail.url?authorId=57203034300,Simon Fraser University,yalcin,y,ozge nilay,ozge nilay yalcin,[],o yalcin
