OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,first_names,last_name,last_init,name_raw,id,fi_ln
A5043607509,,Lauren Fridman,"['Fridman Lauren', 'Fridman, Lauren', 'L. Fridman', 'L. M. Fridman', 'Lauren Fridman']",13,37,3,4,lauren,fridman,f,lauren fridman,A5043607509,l fridman
A5040749724,https://orcid.org/0000-0003-0717-5682,Peter R. Malone,"['P Malone', 'P R Malone', 'P. MALONE', 'P. Malone', 'P. R. MALONE', 'P. R. Malone', 'P.R Malone', 'P.R. MALONE', 'P.R. Malone', 'PETER MALONE', 'PETER R. MALONE', 'Peter Malone', 'Peter R Malone', 'Peter R. Malone']",152,1932,26,34,peter r.,malone,m,peter r. malone,A5040749724,p malone
A5018486913,https://orcid.org/0000-0003-1551-7072,Richard G. Frank,"['Frank Richard G.', 'Frank, Richard', 'Frank, Richard G.', 'MD', 'R Frank', 'R G Frank', 'R. Frank', 'R. G. Frank', 'RICHARD FRANK', 'RICHARD G. FRANK', 'Richard Frank', 'Richard G Frank', 'Richard G.\n    Frank', 'Richard G. FRANK', 'Richard G. Frank', 'Richard Gabriel Frank']",556,21631,69,70,richard g.,frank,f,richard g. frank,A5018486913,r frank
A5030201362,https://orcid.org/0000-0002-9474-4865,Nigel Harwood,"['Claire Kramsch', 'N A Harwood', 'N HARWOOD', 'N. Harwood', 'NIGEL HARWOOD', 'Nigel Harwood']",70,3118,27,59,nigel,harwood,h,nigel harwood,A5030201362,n harwood
A5119426588,,Neda Zolfaghari,['Neda Zolfaghari'],1,1,1,1,neda,zolfaghari,z,neda zolfaghari,A5119426588,n zolfaghari
A5093134124,,Par Yushu Zhu,['Par Yushu Zhu'],1,0,0,1,par yushu,zhu,z,par yushu zhu,A5093134124,p zhu
A5003414139,,Marianne Jacquet,"['M. Pierre A. Jacquet', 'Marianne Jacquet']",45,256,9,5,marianne,jacquet,j,marianne jacquet,A5003414139,m jacquet
A5056543952,https://orcid.org/0000-0003-0709-0160,Richard Bent,"['Bent, Richard', 'R. R. BENT', 'Richard Bent']",53,372,10,4,richard,bent,b,richard bent,A5056543952,r bent
A5091261371,,Daniel RY Gan,['Daniel RY Gan'],2,0,0,1,daniel ry,gan,g,daniel ry gan,A5091261371,d gan
A5100693673,https://orcid.org/0000-0002-7165-4285,Jennifer Wang,"['Jennifer Wang', 'Wang, Jennifer']",79,1068,17,26,jennifer,wang,w,jennifer wang,A5100693673,j wang
A5103160602,https://orcid.org/0000-0002-3916-8041,Daniel R. Smith,"['D Smith', 'D. R. Smith', 'D. Smith', 'D.R. Smith', 'Daniel R. Smith', 'Daniel Robert Smith', 'Daniel Smith', 'Smith, Daniel Robert']",64,899,18,25,daniel r.,smith,s,daniel r. smith,A5103160602,d smith
A5113817933,,Rong-Xue Mu,"['R. X. Mu', 'Rong-Xue Mu', 'Ruichao Mu', 'Runzhi Mu']",4,7,2,4,rong-xue,mu,m,rong-xue mu,A5113817933,r mu
A5110464053,,Abdul Rehman,"['Abdul Rehman', 'Rehman, Abdul']",3,2,1,2,abdul,rehman,r,abdul rehman,A5110464053,a rehman
