sv_name,oa_name,sv_id,oa_id,similarity_score
michael d maraun,michael d maraun,7003683801,A5014931405,100
nabyl merbouh,nabyl merbouh,6508144272,A5053668862,100
laura u marks,laura u marks,26033057400,A5112321714,100
murray j munro,murray j munro,7102691863,A5074908809,100
margo m moore,margo m moore,7404470908,A5016934414,100
brent mcferran,brent mcferran,25929357100,A5073853678,100
john j mcdonald,john j mcdonald,7404234326,A5077824553,100
stephen makonin,stephen makonin,41661920300,A5053665999,100
ralph e mistlberger,ralph e mistlberger,7005970188,A5035497819,100
eundeok mun,eundeok mun,17346654700,A5074987873,100
daniel s marigold,daniel s marigold,6505944129,A5015424302,100
sean markey,sean markey,9244498000,A5087641543,100
dawn c mackey,dawn c mackey,23019382100,A5036867493,100
sylvain moreno,sylvain moreno,14020064700,A5087105269,100
james a maceachern,james a maceachern,6603905976,A5083600826,100
lawrence c mccandless,lawrence c mccandless,16064418900,A5076671726,100
j llorente merino,j llorente merino,58165094900,A5077377484,100
greg mori,greg mori,9435382500,A5110713539,100
jonathan w moore,jonathan w moore,7405239862,A5070014514,100
mehrdad moallem,mehrdad moallem,35609219200,A5031639432,100
bojan mohar,bojan mohar,24480096600,A5005993212,100
wendy hui kyong chun,wendy hui kyong chun,58846715600,A5087258215,100
carlo menon,carlo menon,23989261600,A5021515928,100
roger g linington,roger g linington,6508105568,A5015133560,100
bruce p lanphear,bruce p lanphear,7006082907,A5080164344,100
monica lee,monica lee,57412158000,A5057346446,100
rowland lorimer,rowland lorimer,16495970600,A5046780135,100
steven lewis,steven lewis,59067656600,A5044719058,100
kelvin lau,kelvin lau,57975299900,A5064093289,100
jiayi liu,jiayi liu,58550253900,A5100370772,100
feng lin,feng lin,57191371558,A5101414835,100
michelle levy,michelle levy,55574212275,A5016934275,100
chunmei li,chunmei li,55696026700,A5100427221,100
mario liotti,mario liotti,7004825097,A5087177266,100
michel r leroux,michel r leroux,7101724540,A5031592364,100
angelica lim,angelica lim,36801929900,A5054803584,100
david b lank,david b lank,7003901330,A5026174358,100
cheng li,cheng li,57208500706,A5100354297,100
daniel b leznoff,daniel b leznoff,6701478446,A5035673972,100
kelley lee,kelley lee,55540777300,A5019363540,100
scott a lear,scott a lear,7003829555,A5043684388,100
p kowalski,p kowalski,56102570600,A5029296798,100
dennis l krebs,dennis l krebs,7102141328,A5034589539,100
barry c kelly,barry c kelly,7202842613,A5077116272,100
ernst kruijff,ernst kruijff,15022738100,A5035303241,100
malcolm p kennett,malcolm p kennett,57206148902,A5083205811,100
george kirczenow,george kirczenow,7003642081,A5005284722,100
karen e kohfeld,karen e kohfeld,55964407600,A5075889071,100
christopher j kennedy,christopher j kennedy,23469610500,A5112019938,100
woo soo kim,woo soo kim,17136903100,A5000223592,100
erik kjeang,erik kjeang,16066971400,A5056229295,100
steven jm jones,steven jm jones,55732380600,A5100728059,100
dal yong jin,dal yong jin,7201973561,A5041172302,100
norbert h haunerland,norbert h haunerland,7004689270,A5028440357,100
mohamed hefeeda,mohamed hefeeda,57204281290,A5084024266,100
felix henningsen,felix henningsen,6602244525,A5020847142,100
michael w hart,michael w hart,55684330400,A5053201473,100
david s hik,david s hik,6701520921,A5090776586,100
anil hira,anil hira,6602185359,A5006967128,100
marek hatala,marek hatala,57203069442,A5051581150,100
pascal haegeli,pascal haegeli,23099824700,A5065438853,100
stephen d hart,stephen d hart,7202601274,A5055395163,100
igor f herbut,igor f herbut,7003565312,A5023970139,100
pavol hell,pavol hell,7004529543,A5075416144,100
lindsay hedden,lindsay hedden,37031088300,A5030396427,100
kanna hayashi,kanna hayashi,33267650300,A5029471416,100
farid golnaraghi,farid golnaraghi,7003988491,A5054537100,100
carole gerson,carole gerson,38261265100,A5113523032,100
ramazan gençay,ramazan gençay,6603909062,A5091471139,100
sharon m gorski,sharon m gorski,13606279500,A5018920739,100
diane gromala,diane gromala,55940625900,A5090850435,100
byron d gates,byron d gates,7102128759,A5083686700,100
diane t finegood,diane t finegood,7006661968,A5000637278,100
mei lan fang,mei lan fang,59515679100,A5008149652,100
john e elliott,john e elliott,7402852788,A5076714348,100
martin ester,martin ester,6603359026,A5018267399,100
john c dill,john c dill,7101739265,A5109996927,100
peter dickinson,peter dickinson,37106290500,A5110108030,100
lawrence m dill,lawrence m dill,7006364690,A5109295339,100
ryan cn d’arcy,ryan cn d’arcy,56840385400,A5002868149,100
shahin e dashtgard,shahin e dashtgard,10044945300,A5052933344,100
kevin s douglas,kevin s douglas,7101692656,A5055295524,100
nicholas k dulvy,nicholas k dulvy,6701844802,A5011629984,100
kora debeck,kora debeck,16063277500,A5015210332,100
sheelagh carpendale,sheelagh carpendale,6507907377,A5012561411,100
roy l carlson,roy l carlson,7402666341,A5061833621,100
yuxi chen,yuxi chen,59549734700,A5100764265,100
juan josé alava,juan josé alava,12139754400,A5075325298,100
gail s anderson,gail s anderson,7404223891,A5046194198,100
lara b aknin,lara b aknin,23984324100,A5027537535,100
ben adcock,ben adcock,26432566700,A5065352983,100
jonn axsen,jonn axsen,26422020300,A5090491703,100
fiona sl l brinkman,fiona s l brinkman,7003805233,A5050197558,97
dalyong jin,dal yong jin,59794341400,A5041172302,96
avid v burley,david v burley,57218515194,A5062789412,96
huazhong yu,hua‐zhong yu,57344777600,A5028734301,96
jean claude brodovitch,jean‐claude brodovitch,6602760504,A5081994847,95
jean françois bégin,jean‐françois bégin,57194196993,A5082339528,95
carman g neustaedter,carman neustaedter,13009033100,A5034861201,95
éric m beauregard,éric beauregard,17344924200,A5059754376,94
nicholas k blomley,nicholas blomley,6602849168,A5028312431,94
frank apc gobas,frank a p c gobas,7004015125,A5059504272,94
robert f woodbury,robert woodbury,7005006907,A5042215239,94
alice l fleerackers,alice fleerackers,57216524368,A5070557231,94
d lister,dg lister,59466159900,A5113887217,94
richard a lockhart,richard lockhart,7004445683,A5035238514,94
akm k moniruzzaman,akm moniruzzaman,23982811900,A5109290787,94
heather g stewart,heather stewart,7202198453,A5062879863,94
christopher t beh,christopher beh,6701548100,A5012256170,94
mohamed m hefeeda,mohamed hefeeda,20433459500,A5084024266,94
carl a lowenberger,carl lowenberger,6701782068,A5047490994,94
derek r bingham,derek bingham,57204216471,A5060689409,93
jeremy c snyder,jeremy snyder,24170239100,A5034219029,93
rob ballantyne,roy ballantyne,59558455200,A5006368396,93
robert a britton,robert britton,7101816384,A5014010162,93
jiacheng r wang,jiacheng wang,55878723400,A5100727957,93
steve r dipaola,steve dipaola,14035416700,A5008452037,93
kevin t schnepel,kevin schnepel,25958420900,A5070431242,93
heng li,cheng li,57419438300,A5100354297,93
dana s lepofsky,dana lepofsky,6603240852,A5044844162,93
atiya n mahmood,atiya mahmood,14047242400,A5027802940,93
gulzari l malli,gulzari malli,6602411504,A5007536107,93
jeff h sugarman,jeff sugarman,7102424546,A5103432794,93
