sv_name,oa_name,sv_id,oa_id,similarity_score
jong-in lee,monica lee,58376421300,A5057346446,67
hannah v watkins,g d watkins,57211912574,A5109056508,67
z m wang,qi wang,55719869100,A5100341251,67
jiarui zhang,hao zhang,58484470900,A5100397026,67
aotian chen,mo chen,59352990300,A5100387244,67
jacob loftus,joseph c loftus,59532629300,A5103252276,67
yue wang,qi wang,7601513640,A5100341251,67
jesse scott,jamie k scott,55790236900,A5045141972,67
d mori,greg mori,56779709600,A5110713539,67
cheng li,chunmei li,57208500706,A5100427221,67
zhilin zhang,hao zhang,57195335713,A5100397026,67
jing chen,yuxi chen,55049017000,A5100764265,67
rui zhang,hao zhang,57445736500,A5100397026,67
douglas w allen,ryan w allen,7404328223,A5039444427,67
jie zhang,hao zhang,56420749300,A5100397026,67
alison shaw,chris shaw,56375618200,A5040961656,67
jenifer l thewalt,m l w thewalt,6603791310,A5078132551,67
peiwei wang,qi wang,57215193390,A5100341251,67
yilin liu,jiayi liu,57220551288,A5100370772,67
yanbin wang,qi wang,59773982900,A5100341251,67
jf williams,vance e williams,57213047389,A5010948237,67
shuxing li,cheng li,55315987100,A5100354297,67
emanuel krebs,dennis l krebs,56338995600,A5034589539,67
yilin liu,helen liu,57220551288,A5101610756,67
kristen l gray,bonnie l gray,57216797712,A5110354105,67
reagan c smith,jason r smith,57224678034,A5061800498,67
da ma,hang ma,55992234300,A5024389928,67
imin chen,yuxi chen,35306560600,A5100764265,67
xiaoban chen,yuxi chen,57218999689,A5100764265,67
helena lin,feng lin,59659333500,A5101414835,67
xilan liu,jiayi liu,58744569600,A5100370772,67
yizhou chen,mo chen,57382729000,A5100387244,67
liang cao,jiguo cao,57467068800,A5062483690,67
simonw p watkins,g d watkins,57203069353,A5109056508,67
xiaosu li,jia li,57225920605,A5100405681,67
zhengqing wang,qi wang,58864775700,A5100341251,67
edgar c young,robert n young,7401838992,A5063566841,67
lainey martin,jack martin,58951067900,A5061285579,67
yijuan zhang,hao zhang,56066618800,A5100397026,67
xinglu wang,jiacheng wang,58653787300,A5100727957,67
yanyan zhang,hao zhang,58669484300,A5100397026,67
yue chen,mo chen,57216638641,A5100387244,67
bill t fischer,alain fischer,57221564747,A5029004287,67
ankun ma,hang ma,57376116300,A5024389928,67
alison j moore,margo m moore,58916532200,A5016934414,67
kyeong-min kim,jeong‐bon kim,57200325379,A5019704910,67
xin wang,jiacheng wang,58097854500,A5100727957,67
dongwoo kim,jeong‐bon kim,57205207510,A5019704910,67
jeremy im carpendale,sheelagh carpendale,6602137442,A5012561411,67
amber moore,margo m moore,57194524836,A5016934414,67
marina c elliott,john e elliott,55837840200,A5076714348,67
zhe wang,jiacheng wang,59560883400,A5100727957,67
stevie thompson,j r thompson,57220785307,A5102732555,67
maggie chen,mo chen,35314590800,A5100387244,67
zhenman fang,mei lan fang,38361266400,A5008149652,67
j chen,yuxi chen,58745556500,A5100764265,67
xin li,jia li,57189987947,A5100405681,67
zhe wang,qi wang,59560883400,A5100341251,67
kun liu,yan‐jun liu,57217039511,A5100349652,67
james thompson,sarah k thompson,57383215700,A5038186298,67
kun liu,b liu,57217039511,A5114378471,67
richard t vaughan,rodney g vaughan,14632627000,A5078752648,67
xilan liu,helen liu,58744569600,A5101610756,67
m s martin,jack martin,57223122081,A5061285579,67
pei pei,jian pei,58830173600,A5062247330,67
 grant,darren grant,59739987300,A5031508239,67
benjamin britton,robert britton,25643888600,A5014010162,67
chi xu,min xu,56460553100,A5100413849,67
tessa williams,vance e williams,59135267800,A5010948237,67
melanie lee,monica lee,57191731525,A5057346446,67
melanie lee,kelley lee,57191731525,A5019363540,67
shuo chen,yuxi chen,57842429100,A5100764265,67
cheng li,ming li,57208500706,A5100351426,67
lei chen,mo chen,56612496600,A5100387244,67
jesse scott,charles scott,55790236900,A5039664215,67
tao wang,qi wang,55949122700,A5100341251,67
yuxuan zhang,hao zhang,57732522100,A5100397026,67
zhongchen zhang,hao zhang,57211522444,A5100397026,67
sean c anderson,gail s anderson,25930284300,A5046194198,67
zidong zhang,hao zhang,57951956700,A5100397026,67
yutian zhang,hao zhang,57215863345,A5100397026,67
lin zhang,hao zhang,59814155200,A5100397026,67
jiajie zhang,hao zhang,58659062200,A5100397026,67
shijia wang,jiacheng wang,57203011980,A5100727957,67
yanshu zhang,hao zhang,58538506600,A5100397026,67
xin zhang,hao zhang,56591076800,A5100397026,67
shijia wang,qi wang,57203011980,A5100341251,67
ivan lau,kelvin lau,59433616000,A5064093289,67
beidou wang,qi wang,55775560600,A5100341251,67
zheyuan li,cheng li,57224822134,A5100354297,67
peter j young,robert n young,58158963700,A5063566841,67
lishen zhang,hao zhang,57197774098,A5100397026,67
manyi li,ming li,57192068082,A5100351426,67
brian li,ming li,57203169041,A5100351426,67
wei li,jia li,57209238379,A5100405681,67
xinglu wang,qi wang,58653787300,A5100341251,67
fuyang zhang,hao zhang,57219650380,A5100397026,67
jin zhang,hao zhang,56652361000,A5100397026,67
yitong wang,jiacheng wang,59662621300,A5100727957,67
yitong wang,qi wang,59662621300,A5100341251,67
tian chen,yuxi chen,57220043419,A5100764265,67
wonchul lee,monica lee,57264775600,A5057346446,67
linyi li,ming li,57211756552,A5100351426,67
mengyi wang,qi wang,58867040100,A5100341251,67
mengyi wang,jiacheng wang,58867040100,A5100727957,67
eric lee,monica lee,59710754100,A5057346446,67
kenneth ck wong,jennifer s wong,57201989467,A5018101953,67
tawei liu,jiayi liu,56555456900,A5100370772,67
ethan brown,matthew brown,59467571400,A5041724055,67
linwan xu,min xu,57434684800,A5100413849,67
zixuan li,jia li,57225184392,A5100405681,67
xinru li,ming li,57218939828,A5100351426,67
keelan p watkins,g d watkins,55751438500,A5109056508,67
yihan lin,qi lin,58184442400,A5102608112,67
zhengqing wang,jiacheng wang,58864775700,A5100727957,67
jessica bouchard,martin bouchard,57190967389,A5103242379,65
deby mcintosh,anthony r mcintosh,57218189453,A5050825978,65
joshua d wright,stephen c wright,57190386017,A5042007466,65
gabriela aceves sepúlveda,sergio a sepúlveda,57196318181,A5036506208,65
sergio andrés sepúlveda,g sepúlveda,8694415200,A5003757835,65
ian j kennedy,christopher j kennedy,57195586827,A5112019938,65
habib sadat chaudhury,sidhartha chaudhury,9039040400,A5089946703,65
erin lori williams,vance e williams,57346112600,A5010948237,65
rebecca a macdonald,margaret macdonald,57191885835,A5034867632,65
stevie thompson,sarah k thompson,57220785307,A5038186298,65
yanqing zhang,hao zhang,58250313900,A5100397026,64
peiling wang,jiacheng wang,55718418500,A5100727957,64
jaspreet singh,bp singh,57209207252,A5103582429,64
xiaolei wang,jiacheng wang,58527206800,A5100727957,64
amy harris,andrew b harris,57668675700,A5011644095,64
xiaohao sun,xiangyu sun,57902600900,A5060002954,64
zezhong wang,jiacheng wang,57202051406,A5100727957,64
yejin park,youn‐il park,59586745100,A5072961887,64
kilim park,youn‐il park,59155485000,A5072961887,64
jianqiu zhang,hao zhang,57234148200,A5100397026,64
deanna em smith,jason r smith,57233205500,A5061800498,64
john calvert,andrew j calvert,56719213100,A5030736348,64
alex k smith,jason r smith,57214307868,A5061800498,64
william a scott,jamie k scott,57651636000,A5045141972,64
gaoyang liu,yan‐jun liu,57203062038,A5100349652,64
ian y song,xiaowei song,17345491900,A5036261443,64
rina wang,jiacheng wang,59537723600,A5100727957,64
calvin craig,lisa craig,57198036925,A5068113418,64
mengqin wang,jiacheng wang,58118977100,A5100727957,64
michael cp wang,jiacheng wang,55806545700,A5100727957,64
hae-yoon kim,jeong‐bon kim,56491905000,A5019704910,64
hae-yoon kim,tae‐ho kim,56491905000,A5100452164,64
yuepeng wang,jiacheng wang,57192109237,A5100727957,64
xiangxiang wang,jiacheng wang,57216315221,A5100727957,64
jonathan lee,monica lee,55147369200,A5057346446,64
jeremy d wong,jennifer s wong,35390063600,A5018101953,64
guojuan zhang,hao zhang,57191914913,A5100397026,64
jiangchuan liu,yan‐jun liu,59061428700,A5100349652,64
nelson lee,daniel c lee,57974923900,A5100392989,64
keenan elliott,john e elliott,58661178300,A5076714348,64
liangliang wang,jiacheng wang,52264998100,A5100727957,64
stephen j smith,jason r smith,55702263100,A5061800498,64
william shen,kelly shen,57210853308,A5006850713,64
jamie k scott,william a scott,57206879375,A5001064251,64
gerhard gries,regine gries,7006196798,A5113549037,64
carmen feng,changyong feng,59680719500,A5089845667,64
deborah v kelly,barry c kelly,7403137454,A5077116272,64
brian stewart,heather stewart,57079535100,A5062879863,64
wenqian sun,xiangyu sun,59225858600,A5060002954,64
claire robson,arthur j robson,36708623300,A5032114320,64
amritpal singh,bp singh,58730521700,A5103582429,64
monica lee,daniel c lee,57412158000,A5100392989,64
dongwoo kim,woo soo kim,57205207510,A5000223592,64
adnan azam bhatti,asim bhatti,59550144300,A5040015457,64
tom brown,matthew brown,57225808826,A5041724055,64
jodie l martin,jack martin,56210958800,A5061285579,64
richard a moore,margo m moore,56696653600,A5016934414,64
amy yo sue chen,mo chen,57209310043,A5100387244,64
woochul kim,woo soo kim,58658203400,A5000223592,64
taeyoung kim,jeong‐bon kim,57198491843,A5019704910,64
zhe george zhang,hao zhang,57216960787,A5100397026,64
yan lim,angelica lim,58546087400,A5054803584,63
pengyu liu,helen liu,57204160662,A5101610756,63
meng sun,xiangyu sun,57578986800,A5060002954,63
xiaoban chen,mo chen,57218999689,A5100387244,63
tommy kim,tae‐ho kim,58186749800,A5100452164,63
xiaoqiang ma,hang ma,36930770600,A5024389928,63
weihua liu,jiayi liu,57222253228,A5100370772,63
rosemary claire collard,mark collard,50561130300,A5053375554,63
peng zhang,hao zhang,56963027800,A5100397026,63
aimin chen,yuxi chen,55447267000,A5100764265,63
hongwen chen,mo chen,58666893100,A5100387244,63
minnie liu,jiayi liu,57211461392,A5100370772,63
peiling wang,qi wang,55718418500,A5100341251,63
jan lee,daniel c lee,57252778500,A5100392989,63
xiaolei wang,qi wang,58527206800,A5100341251,63
ming yu lin,feng lin,57828636300,A5101414835,63
sonia singh,bp singh,56268594600,A5103582429,63
siying duan,jun duan,57212346127,A5072983949,63
zhihao cao,jiguo cao,57713421400,A5062483690,63
jiaqi chen,yuxi chen,58018476700,A5100764265,63
tony shen,kelly shen,58101663500,A5006850713,63
robyn lee,monica lee,58951232600,A5057346446,63
haggai liu,jiayi liu,57305249200,A5100370772,63
scott e bernstein,daniel m bernstein,55966833000,A5078816085,63
ziniu chen,yuxi chen,57432972100,A5100764265,63
jiannan wang,qi wang,38863309000,A5100341251,63
qimin chen,yuxi chen,57382754500,A5100764265,63
gem y lee,kelley lee,58055605100,A5019363540,63
maeve cyr,dianne cyr,57206410778,A5111411523,63
yang yu,hua‐zhong yu,57197518788,A5028734301,63
pinyao liu,jiayi liu,57703884300,A5100370772,63
douglas w allen,george e allen,7404328223,A5006221782,62
benedikt fischer,alain fischer,56603004800,A5029004287,62
jamie k scott,charles scott,57206879375,A5039664215,62
linda c li,jia li,7501443732,A5100405681,62
nathan young,robert n young,57207105229,A5063566841,62
ying chen,mo chen,56040387500,A5100387244,62
alison l palmer,patrick palmer,57195211394,A5090621082,62
joshua m allen,ryan w allen,57754793200,A5039444427,62
george e allen,ryan w allen,58420270400,A5039444427,62
ryan w allen,george e allen,57203292425,A5006221782,62
qingcan li,jia li,57205694562,A5100405681,62
anqi chen,mo chen,57219394662,A5100387244,62
mackenzie graves,michael f graves,59539405400,A5001443059,62
malcolm brown,matthew brown,57220917282,A5041724055,62
charles scott,jamie k scott,56898175500,A5045141972,62
tian chen,mo chen,57220043419,A5100387244,62
mo chen,yuxi chen,57007331200,A5100764265,62
fangxing wang,jiacheng wang,57201917282,A5100727957,62
xiaohan li,jia li,59248899100,A5100405681,62
ziyuan ma,hang ma,57225982687,A5024389928,62
sherry young,robert n young,57824709500,A5063566841,62
belinda li,jia li,57215578322,A5100405681,62
bingfan liu,b liu,59487044600,A5114378471,62
lun li,ming li,57211233276,A5100351426,62
eric lin,feng lin,36921090100,A5101414835,62
kun liu,helen liu,57217039511,A5101610756,62
brittni thompson,sarah k thompson,57216850907,A5038186298,62
lun li,chunmei li,57211233276,A5100427221,62
hanyu li,cheng li,57224091825,A5100354297,62
b l liu,helen liu,58372717600,A5101610756,62
anna lin,feng lin,59464151500,A5101414835,62
yang wang,qi wang,57218475801,A5100341251,62
ke li,cheng li,57199453570,A5100354297,62
stephanie wong,jennifer s wong,57193543860,A5018101953,62
jing chen,mo chen,55049017000,A5100387244,62
yuxi chen,mo chen,59549734700,A5100387244,62
lisette lockhart,richard lockhart,57212017911,A5035238514,62
gang chen,mo chen,57198649249,A5100387244,62
bara singh,ravi chand singh,57200378048,A5047641614,62
feng liu,b liu,57192301448,A5114378471,62
lisa shapiro,stanley j shapiro,52964512900,A5027605617,62
qing liu,b liu,56413233700,A5114378471,62
yule wang,qi wang,57216771994,A5100341251,62
stephen chengxi li,cheng li,59545707900,A5100354297,62
jiyuan li,ming li,57226157890,A5100351426,62
sophie borwein,jonathan m borwein,57203476618,A5088720034,62
brittany bingham,derek bingham,56072429500,A5060689409,62
zixuan li,ming li,57225184392,A5100351426,62
jane sy li,jia li,58668755300,A5100405681,62
isabella wang,jiacheng wang,57225188499,A5100727957,62
jacqueline n watson,neil v watson,7404155073,A5083353743,62
weijie lin,qi lin,57225094561,A5102608112,62
feng wang,qi wang,59815240100,A5100341251,62
tyler t kelly,barry c kelly,57216763095,A5077116272,62
michaela martin,jack martin,55782570100,A5061285579,62
jordan stewart,heather stewart,57203857150,A5062879863,62
sukhman singh,ravi chand singh,57309134500,A5047641614,62
wei li,chunmei li,57209238379,A5100427221,62
wei li,ming li,57209238379,A5100351426,62
richard li,jia li,57888134600,A5100405681,62
xiaorui li,jia li,56306779600,A5100405681,62
rhiannon c moore,margo m moore,57211922024,A5016934414,62
rhiannon c moore,jonathan w moore,57211922024,A5070014514,62
michael xu,min xu,58565166900,A5100413849,62
linghao xu,min xu,57223724983,A5100413849,62
jennifer wang,jiacheng wang,55833173500,A5100727957,62
keon ju lee,ki‐young lee,59249485500,A5100719654,61
gabriela aceves sepúlveda,g sepúlveda,57196318181,A5003757835,61
hyunwoo lee,ki‐young lee,55751730700,A5100719654,61
hansol park,youn‐il park,57214123031,A5072961887,61
yizhi wang,jiacheng wang,57200661953,A5100727957,61
jong-in lee,ki‐young lee,58376421300,A5100719654,61
sean brown,matthew brown,57543086500,A5041724055,61
peter b borwein,jonathan m borwein,7005219402,A5088720034,61
chaochun liu,yan‐jun liu,57203659208,A5100349652,61
shelbie f anderson,gail s anderson,57207959600,A5046194198,61
fenqi wang,jiacheng wang,57212385020,A5100727957,61
paul yeung,rae s m yeung,57203989505,A5040872283,61
bixia wang,jiacheng wang,57205341535,A5100727957,61
bingxuan liu,yan‐jun liu,58603818900,A5100349652,61
seyeon kim,jeong‐bon kim,57817056000,A5019704910,61
samantha henrie thompson,j r thompson,57224545759,A5102732555,61
jiangchuan liu,jiayi liu,59061428700,A5100370772,61
hsufeng lee,ki‐young lee,55924615100,A5100719654,61
cristina moretti,marlene m moretti,54791313600,A5084640796,61
suhong kim,jeong‐bon kim,57221141737,A5019704910,61
hanhung lee,ki‐young lee,57473697300,A5100719654,61
huiyin song,xiaowei song,56706695700,A5036261443,61
yilin liu,yan‐jun liu,57220551288,A5100349652,60
zenghui liu,helen liu,56599407500,A5101610756,60
austin t wang,qi wang,58723315100,A5100341251,60
nelson lee,kelley lee,57974923900,A5019363540,60
bingfan liu,jiayi liu,59487044600,A5100370772,60
nelson lee,monica lee,57974923900,A5057346446,60
kaitey vincent,nicholas vincent,57217490434,A5070837664,60
shuxing li,chunmei li,55315987100,A5100427221,60
martin lee,monica lee,55716885000,A5057346446,60
liyi lim,angelica lim,57323476000,A5054803584,60
aotian chen,yuxi chen,59352990300,A5100764265,60
xilun zhang,hao zhang,57545971500,A5100397026,60
suemin lee,monica lee,57222084312,A5057346446,60
fiona shaw,chris shaw,59203658200,A5040961656,60
xilan liu,yan‐jun liu,58744569600,A5100349652,60
jacob c stewart,heather stewart,57217227079,A5062879863,60
zhen lisa li,cheng li,59197740200,A5100354297,60
wu lucas,emma s lucas,58668568200,A5078476389,60
isabella wang,qi wang,57225188499,A5100341251,60
jianping lin,feng lin,57204916659,A5101414835,60
eric lee,daniel c lee,59710754100,A5100392989,60
zhiqin chen,yuxi chen,57214778958,A5100764265,60
fangxing wang,qi wang,57201917282,A5100341251,60
yi wang,jiacheng wang,57225083226,A5100727957,60
guanzhou chen,mo chen,57699420000,A5100387244,60
shuvay singh,bp singh,59156749500,A5103582429,60
wuyang chen,yuxi chen,57214459624,A5100764265,60
anqi a chen,yuxi chen,58830295700,A5100764265,60
zhuang chen,yuxi chen,57209849920,A5100764265,60
maggie chen,yuxi chen,35314590800,A5100764265,60
weiji zhang,hao zhang,59359288300,A5100397026,60
xiulong liu,helen liu,55981047600,A5101610756,60
hao fang,mei lan fang,58023063200,A5008149652,60
kenneth liu,helen liu,57974743200,A5101610756,60
jim park,youn‐il park,57219910435,A5072961887,60
xiaoxue liu,jiayi liu,57204556952,A5100370772,60
wenzhi chen,yuxi chen,55716068400,A5100764265,60
thomas william claydon,victoria e claydon,12789638400,A5075903269,60
john r calvert,andrew j calvert,58827810200,A5030736348,60
jennifer wang,qi wang,55833173500,A5100341251,60
alison j moore,jonathan w moore,58916532200,A5070014514,60
xiaoying wang,qi wang,57221799820,A5100341251,60
eilidh singh,bp singh,59204809200,A5103582429,60
suhong kim,tae‐ho kim,57221141737,A5100452164,60
chaeri kim,tae‐ho kim,59103083900,A5100452164,60
dongho kim,tae‐ho kim,57214770459,A5100452164,60
yejia liu,yan‐jun liu,57205377655,A5100349652,60
gaoyang liu,jiayi liu,57203062038,A5100370772,60
henry wj lin,feng lin,56159860200,A5101414835,60
ke wang,jiacheng wang,55712748700,A5100727957,60
rishav singh,bp singh,59088317900,A5103582429,60
angel my lin,feng lin,56444693800,A5101414835,60
carlos lee,monica lee,57220892325,A5057346446,60
amritpal singh,ravi chand singh,58730521700,A5047641614,60
seyeon kim,tae‐ho kim,57817056000,A5100452164,60
xiaogang wang,qi wang,57206601221,A5100341251,60
aidan a wright,stephen c wright,57217232942,A5042007466,60
senhung wong,jennifer s wong,57829144400,A5018101953,59
jason wang,qi wang,58670992800,A5100341251,59
belinda li,ming li,57215578322,A5100351426,59
stephanie g craig,lisa craig,55520207400,A5068113418,59
shun cao,jiguo cao,58828197400,A5062483690,59
qing liu,jiayi liu,56413233700,A5100370772,59
janet lynn s moore,jonathan w moore,56246268300,A5070014514,59
bingxuan liu,b liu,58603818900,A5114378471,59
binyu chen,mo chen,57217236520,A5100387244,59
qinghong xu,min xu,57221150139,A5100413849,59
laurie w smith,jason r smith,36028910700,A5061800498,59
jan lee,monica lee,57252778500,A5057346446,59
yuchi chen,mo chen,57193485712,A5100387244,59
adam david vaughan,rodney g vaughan,57193751866,A5078752648,59
samantha jean jones,steven jm jones,57193384181,A5100728059,59
linda c li,ming li,7501443732,A5100351426,59
eric w jones,steven jm jones,57200080124,A5100728059,59
alireza akbari,mohsen akbari,58906713600,A5039506035,59
zhuangfei wang,jiacheng wang,58119559500,A5100727957,59
heng li,chunmei li,57419438300,A5100427221,59
ena lee,kelley lee,59645048800,A5019363540,59
adlih britton,robert britton,58878056100,A5014010162,59
xiaohan li,ming li,59248899100,A5100351426,59
anthony duffy,ciarán m duffy,57226474608,A5055246678,59
haijuan li,ming li,57218401984,A5100351426,59
ziniu chen,mo chen,57432972100,A5100387244,59
jiaqi chen,mo chen,58018476700,A5100387244,59
yihan lin,feng lin,58184442400,A5101414835,59
ming yu lin,qi lin,57828636300,A5102608112,59
wenzao li,cheng li,56089546300,A5100354297,59
qing liu,helen liu,56413233700,A5101610756,59
tingan li,cheng li,57210262931,A5100354297,59
morgan j wright,stephen c wright,57222193262,A5042007466,58
amy yo sue chen,yuxi chen,57209310043,A5100764265,58
hoyoung kim,jeong‐bon kim,58860015500,A5019704910,58
yunzhijun yu,hua‐zhong yu,57778940100,A5028734301,58
abeline rose watkins,g d watkins,57209008066,A5109056508,58
nena y wang,jiacheng wang,57208820425,A5100727957,58
lawrence h kim,tae‐ho kim,56742755100,A5100452164,58
andrew s wright,stephen c wright,57221311967,A5042007466,58
jeong bon kim,woo soo kim,8304603800,A5000223592,58
andrew g wright,stephen c wright,56178007800,A5042007466,58
brandi anne berry,nicole s berry,58957897000,A5062493243,58
nicole k stewart,heather stewart,57226135660,A5062879863,58
xinyi feng,changyong feng,59151378900,A5089845667,58
callum lucas,emma s lucas,58511384100,A5078476389,58
richard a moore,jonathan w moore,56696653600,A5070014514,58
rebekah hy lee,kelley lee,57221940572,A5019363540,58
jeonghun lee,ki‐young lee,57206734156,A5100719654,58
vicki kelly,barry c kelly,57183847800,A5077116272,58
suyoung kim,jeong‐bon kim,57211871654,A5019704910,58
harsimran singh,ravi chand singh,59114739500,A5047641614,58
paul chi hang li,cheng li,55638723000,A5100354297,58
huiqian song,xiaowei song,58153782700,A5036261443,58
adrian c lim,angelica lim,57711932900,A5054803584,58
renjie wang,jiacheng wang,57220783660,A5100727957,58
anna cullis watson,neil v watson,59673212800,A5083353743,58
neale smith,jason r smith,18438063200,A5061800498,58
frank js lee,daniel c lee,23484073300,A5100392989,58
tom c brown,matthew brown,24433859000,A5041724055,58
erica smith,jason r smith,57740474400,A5061800498,58
yanbin wang,jiacheng wang,59773982900,A5100727957,58
yiming zhang,hao zhang,57654567800,A5100397026,57
tingyu zhang,hao zhang,59151047800,A5100397026,57
yanxin shen,kelly shen,59503924000,A5006850713,57
erique zhang,hao zhang,57221559134,A5100397026,57
minnie liu,yan‐jun liu,57211461392,A5100349652,57
margaret grant,d grant,36709627300,A5107864583,57
kenneth kin lam wong,jennifer s wong,57204153607,A5018101953,57
keon ju lee,kelley lee,59249485500,A5019363540,57
keon ju lee,monica lee,59249485500,A5057346446,57
feng lin,qi lin,57191371558,A5102608112,57
ryland shaw,chris shaw,57955058600,A5040961656,57
hoikwan lau,kelvin lau,36864012100,A5064093289,57
shuqi liu,b liu,58057756500,A5114378471,57
yerin lee,ki‐young lee,57203855079,A5100719654,57
dongmeng liu,helen liu,57202874971,A5101610756,57
michael w hart,stephen d hart,55684330400,A5055395163,57
joshua m allen,george e allen,57754793200,A5006221782,57
gem y lee,daniel c lee,58055605100,A5100392989,57
zhuangfei wang,qi wang,58119559500,A5100341251,57
jiayi liu,b liu,58550253900,A5114378471,57
manyi li,jia li,57192068082,A5100405681,57
shuvay singh,ravi chand singh,59156749500,A5047641614,57
cheng jin,dal yong jin,58078867300,A5041172302,57
chunhong liu,helen liu,57218798436,A5101610756,57
dennis y liu,helen liu,57203150185,A5101610756,57
baiyu li,jia li,58262011500,A5100405681,57
xilan liu,b liu,58744569600,A5114378471,57
karen s palmer,patrick palmer,55959354500,A5090621082,57
tae ho kim,woo soo kim,56168759700,A5000223592,57
boah kim,jeong‐bon kim,57787556200,A5019704910,57
tianzheng wang,qi wang,55699245700,A5100341251,57
chaochun liu,helen liu,57203659208,A5101610756,57
hoyoung kim,tae‐ho kim,58860015500,A5100452164,57
linyi li,jia li,57211756552,A5100405681,57
pinyao liu,yan‐jun liu,57703884300,A5100349652,57
dongho kim,woo soo kim,57214770459,A5000223592,57
suhong kim,woo soo kim,57221141737,A5000223592,57
xinru li,jia li,57218939828,A5100405681,57
chingchiu lin,feng lin,57155348500,A5101414835,57
jaeyong lee,kelley lee,39762111800,A5019363540,57
pengyu liu,yan‐jun liu,57204160662,A5100349652,57
yilin liu,b liu,57220551288,A5114378471,57
jiangchuan jc liu,yan‐jun liu,59732151800,A5100349652,57
d liu,helen liu,59617524800,A5101610756,57
d liu,jiayi liu,59617524800,A5100370772,57
nesha wright,stephen c wright,57219108289,A5042007466,57
yejia liu,b liu,57205377655,A5114378471,57
wei li,cheng li,57209238379,A5100354297,57
shuoge shen,kelly shen,57223370102,A5006850713,57
sukhman singh,bp singh,57309134500,A5103582429,57
anny kim,jeong‐bon kim,58090502900,A5019704910,57
eilidh singh,ravi chand singh,59204809200,A5047641614,57
jordan m wong,jennifer s wong,57226533093,A5018101953,57
maitland w waddell,charlotte waddell,57331705700,A5086742456,57
sami ma,hang ma,57829839300,A5024389928,57
tawei liu,b liu,56555456900,A5114378471,57
shaoyu shen,kelly shen,57850532700,A5006850713,57
dennis y liu,jiayi liu,57203150185,A5100370772,57
cheng xu,min xu,57192005445,A5100413849,57
xueyi xu,min xu,58644846400,A5100413849,57
seyeon kim,woo soo kim,57817056000,A5000223592,57
mark a moore,jonathan w moore,7404470812,A5070014514,57
bingxuan liu,jiayi liu,58603818900,A5100370772,57
qinghua chen,yuxi chen,57992064100,A5100764265,57
yue wang,jiacheng wang,7601513640,A5100727957,57
tao wang,jiacheng wang,55949122700,A5100727957,57
min-hye lee,monica lee,57225983721,A5057346446,57
grayson lee,monica lee,59137357900,A5057346446,57
hanyu li,jia li,57224091825,A5100405681,57
anna lin,qi lin,59464151500,A5102608112,57
guiliang liu,helen liu,57204467338,A5101610756,57
guiliang liu,jiayi liu,57204467338,A5100370772,57
huiwen liu,yan‐jun liu,57224590777,A5100349652,57
robyn lee,ki‐young lee,58951232600,A5100719654,57
lun li,cheng li,57211233276,A5100354297,57
sieun lee,daniel c lee,36644393200,A5100392989,57
xin li,cheng li,57189987947,A5100354297,57
arita li liu,jiayi liu,57200987873,A5100370772,57
jaeyong lee,monica lee,39762111800,A5057346446,57
ruilin zhang,hao zhang,57216635351,A5100397026,57
pei wang,jiacheng wang,57202576436,A5100727957,57
shaohuang chen,mo chen,57226542790,A5100387244,57
cameron scott,william a scott,57213693372,A5001064251,57
xingtu liu,yan‐jun liu,59424708200,A5100349652,57
siyuan chen,mo chen,59817205600,A5100387244,56
quincy qingwen wang,jiacheng wang,58244402500,A5100727957,56
jiayue chen,mo chen,57221630885,A5100387244,56
cong chen,yuxi chen,57221774756,A5100764265,56
gang chen,yuxi chen,57198649249,A5100764265,56
dongwook song,xiaowei song,58635017900,A5036261443,56
jianping lin,qi lin,57204916659,A5102608112,56
g gary wang,qi wang,55599185800,A5100341251,56
ken liu,yan‐jun liu,57364393000,A5100349652,56
harman jit singh,ravi chand singh,57210800828,A5047641614,56
tawei liu,helen liu,56555456900,A5101610756,56
eric lee,kelley lee,59710754100,A5019363540,56
jiaxing li,cheng li,58555571700,A5100354297,56
belinda li,cheng li,57215578322,A5100354297,56
vivian py lee,daniel c lee,58323846600,A5100392989,56
anny kim,tae‐ho kim,58090502900,A5100452164,56
cyrus wong,jennifer s wong,57218499092,A5018101953,56
zhida li,chunmei li,57190841490,A5100427221,56
paul ch li,cheng li,59806039000,A5100354297,56
hanyu li,chunmei li,57224091825,A5100427221,56
yiting chen,mo chen,59353414700,A5100387244,56
janghyeon lee,daniel c lee,58374461300,A5100392989,56
binglin li,cheng li,57205368212,A5100354297,56
mark lee,kelley lee,57219825843,A5019363540,56
shuqi liu,helen liu,58057756500,A5101610756,56
manyi li,chunmei li,57192068082,A5100427221,56
yixuan chen,mo chen,57328681600,A5100387244,56
k park,youn‐il park,58640561800,A5072961887,56
megan wong,jennifer s wong,57199402843,A5018101953,56
adrian yeung,rae s m yeung,59398517900,A5040872283,56
james young,robert n young,57718687400,A5063566841,56
jiongchao jin,dal yong jin,57203991019,A5041172302,56
zhuang chen,mo chen,57209849920,A5100387244,56
zhefan chen,mo chen,57222654013,A5100387244,56
jennifer fang,mei lan fang,56856315600,A5008149652,56
wenzhi chen,mo chen,55716068400,A5100387244,56
qingcan li,cheng li,57205694562,A5100354297,56
kirk a hart,michael w hart,57192158322,A5053201473,56
wuyang chen,mo chen,57214459624,A5100387244,56
weijie lin,feng lin,57225094561,A5101414835,56
shuqi liu,jiayi liu,58057756500,A5100370772,56
