index,sv_name,oa_name,sv_id,oa_id,similarity_score
941,qiu lin,feng lin,57856271800,A5101414835,53
602,jaeyong lee,daniel c lee,39762111800,A5100392989,52
1192,yadvinder singh,bp singh,57206181709,A5103582429,52
992,emily g lim,angelica lim,59114291700,A5054803584,52
1481,yufei wang,jiacheng wang,57222498131,A5100727957,52
528,chelsey lee,daniel c lee,57207257893,A5100392989,52
234,shaohuang chen,yuxi chen,57226542790,A5100764265,52
1231,meehae song,xiaowei song,7401474605,A5036261443,52
1392,haixu wang,jiacheng wang,56590132700,A5100727957,52
1005,jessica lee,daniel c lee,58701988800,A5100392989,52
609,guiliang liu,yan‐jun liu,57204467338,A5100349652,52
849,min-hye lee,daniel c lee,57225983721,A5100392989,52
848,min-hye lee,ki‐young lee,57225983721,A5100719654,52
470,jiangchuan chuan liu,yan‐jun liu,8969748600,A5100349652,52
1509,ruiqi wang,jiacheng wang,57792895600,A5100727957,52
463,elizabeth a krebs,dennis l krebs,7101809423,A5034589539,52
1271,harsimran singh,bp singh,59114739500,A5103582429,52
1255,sonia singh,ravi chand singh,56268594600,A5047641614,52
435,pyojin kim,jeong‐bon kim,59563842600,A5019704910,52
635,jiangchuan liu,helen liu,59061428700,A5101610756,52
811,wonchul lee,daniel c lee,57264775600,A5100392989,52
810,wonchul lee,ki‐young lee,57264775600,A5100719654,52
1079,amber moore,jonathan w moore,57194524836,A5070014514,52
140,rebecca d cox,kieran cox,30467559600,A5031419507,52
829,vivian py lee,monica lee,58323846600,A5057346446,52
485,paul chi hang li,ming li,55638723000,A5100351426,52
857,grayson lee,daniel c lee,59137357900,A5100392989,52
902,keon ju lee,daniel c lee,59249485500,A5100392989,52
807,hanhung lee,daniel c lee,57473697300,A5100392989,52
371,jeong bon kim,tae‐ho kim,8304603800,A5100452164,52
374,tae ho kim,jeong‐bon kim,56168759700,A5019704910,52
1095,janet lynn s moore,margo m moore,56246268300,A5016934414,52
407,hae-yoon kim,woo soo kim,56491905000,A5000223592,52
535,dennis y liu,yan‐jun liu,57203150185,A5100349652,52
554,chunhong liu,yan‐jun liu,57218798436,A5100349652,52
345,john dewey jones,steven jm jones,55636318231,A5100728059,52
1141,andrew park,youn‐il park,57205668255,A5072961887,52
346,paul w jones,steven jm jones,57217388489,A5100728059,52
145,kennedy s chen,yuxi chen,57215129380,A5100764265,52
190,spencer x chen,yuxi chen,58183177400,A5100764265,52
66,victoria brown,matthew brown,57196052427,A5041724055,52
719,jong-in lee,daniel c lee,58376421300,A5100392989,52
727,dongmeng liu,yan‐jun liu,57202874971,A5100349652,52
1245,yexuan song,xiaowei song,57222062145,A5036261443,52
772,janghyeon lee,monica lee,58374461300,A5057346446,52
1209,justin song,xiaowei song,55568333600,A5036261443,52
1578,lingling zhang,hao zhang,56503285300,A5100397026,52
1576,pengpeng zhang,hao zhang,57214091117,A5100397026,52
4,diana m allen,george e allen,55808760900,A5006221782,52
158,manuela cruz,margarito martínez cruz,57409818900,A5018665681,51
11,mohammad hsharifzadeh amin,m h s amin,57209051505,A5112270021,50
284,jiuen feng,changyong feng,59152182400,A5089845667,50
285,cai mitsu feng,changyong feng,57723250300,A5089845667,50
1206,charles scott,william a scott,56898175500,A5001064251,50
360,woo soo kim,jeong‐bon kim,17136903100,A5019704910,50
358,laura b jones,steven jm jones,58329027300,A5100728059,50
279,mitsu cai feng,changyong feng,57218800926,A5089845667,50
1028,sanghoon lee,ki‐young lee,57212311772,A5100719654,50
1024,ke li,ming li,57199453570,A5100351426,50
135,jiacheng chen,mo chen,57203151209,A5100387244,50
1090,cydney ma,hang ma,57216502767,A5024389928,50
1257,david sun,xiangyu sun,57225935027,A5060002954,50
428,kyeong-min kim,tae‐ho kim,57200325379,A5100452164,50
415,woochul kim,jeong‐bon kim,58658203400,A5019704910,50
1537,z yu,hua‐zhong yu,58749078900,A5028734301,50
436,pyojin kim,tae‐ho kim,59563842600,A5100452164,50
433,jonghyeok kim,woo soo kim,58727504600,A5000223592,50
447,tommy kim,woo soo kim,58186749800,A5000223592,50
1516,yuelang xu,min xu,59446862500,A5100413849,50
493,daniel chonghwan lee,ki‐young lee,57219039850,A5100719654,50
1493,g gary wang,jiacheng wang,55599185800,A5100727957,50
511,b l liu,jiayi liu,58372717600,A5100370772,50
532,zenghui liu,jiayi liu,56599407500,A5100370772,50
529,zenghui liu,b liu,56599407500,A5114378471,50
521,chunmei li,jia li,55696026700,A5100405681,50
991,ken liu,jiayi liu,57364393000,A5100370772,50
1018,lun li,jia li,57211233276,A5100405681,50
1277,harman jit singh,bp singh,57210800828,A5103582429,50
1269,jun song,xiaowei song,59277537500,A5036261443,50
1037,paul ch li,chunmei li,59806039000,A5100427221,50
1034,paul ch li,jia li,59806039000,A5100405681,50
1485,karen lok yi wong,jennifer s wong,56621809700,A5018101953,50
550,belinda li,chunmei li,57215578322,A5100427221,50
544,zhida li,cheng li,57190841490,A5100354297,50
561,gaoyang liu,helen liu,57203062038,A5101610756,50
560,gaoyang liu,b liu,57203062038,A5114378471,50
1472,robert wang,jiacheng wang,57987067400,A5100727957,50
1465,peiwei wang,jiacheng wang,57215193390,A5100727957,50
1029,sanghoon lee,daniel c lee,57212311772,A5100392989,50
926,connie kw liu,yan‐jun liu,59618465500,A5100349652,50
971,helena lin,qi lin,59659333500,A5102608112,50
576,shuxing li,jia li,55315987100,A5100405681,50
967,d liu,yan‐jun liu,59617524800,A5100349652,50
567,yungshan lee,daniel c lee,54882053400,A5100392989,50
