sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
b l liu,b liu,58372717600,A5114378471,19,2266,498,110309,83
habib sadat chaudhury,habib chaudhury,9039040400,A5014665875,83,210,1981,5406,83
michel c vetterli,m c vetterli,56381653900,A5019316470,1076,1859,58260,105597,83
bingyun sun,xiangyu sun,36488788000,A5060002954,23,179,181,3481,82
jiarui li,jia li,59785163100,A5100405681,6,997,440,18198,80
ray zhang,hao zhang,56083560200,A5100397026,6,1370,100,63147,78
jing li,jia li,57216939987,A5100405681,33,997,1808,18198,77
j chen,mo chen,58745556500,A5100387244,177,265,1393,5159,77
xin li,ming li,57189987947,A5100351426,6,258,27,4282,77
jaimy fischer,alain fischer,57203659741,A5029004287,11,1229,235,101519,77
matthias danninger,m danninger,26221746900,A5039614567,424,1430,8812,62257,76
chelsey lee,kelley lee,57207257893,A5019363540,17,336,164,10321,76
joseph j thompson,j r thompson,56327680200,A5102732555,7,400,199,11012,76
kath webster,john webster,36834394200,A5112228279,29,426,628,5845,75
long chen,mo chen,57202349101,A5100387244,13,265,84,5159,75
leonard s sklar,l s sklar,7103239380,A5014602033,8,228,43,8820,75
jiaxing li,jia li,58555571700,A5100405681,5,997,16,18198,75
tingan li,ming li,57210262931,A5100351426,10,258,118,4282,75
imin chen,mo chen,35306560600,A5100387244,14,265,56,5159,75
sheryl thompson,j r thompson,57193131544,A5102732555,7,400,64,11012,74
corina a andreoiu,c andreoiu,7003934114,A5006209868,157,380,1764,4684,74
sophie borwein,peter borwein,57203476618,A5029261392,6,409,39,7695,74
taeil kim,tae‐ho kim,57205700445,A5100452164,10,238,223,3155,74
andy sun,xiangyu sun,57195133952,A5060002954,8,179,106,3481,74
taeyoung kim,tae‐ho kim,57198491843,A5100452164,8,238,85,3155,73
richard zhang,hao zhang,57219838274,A5100397026,8,1370,2,63147,73
chuxuan zhang,hao zhang,58148929600,A5100397026,6,1370,9,63147,73
zhitian zhang,hao zhang,57210362788,A5100397026,6,1370,19,63147,73
julio sg montaner,joan montaner,7202587142,A5048009605,6,1021,55,56324,73
barry s davids,b davids,7003344594,A5065529657,23,245,151,4802,73
jiaxing li,ming li,58555571700,A5100351426,5,258,16,4282,71
glenn h chapman,alexander l chapman,7202936504,A5042419426,32,240,78,8317,71
binglin li,ming li,57205368212,A5100351426,9,258,98,4282,71
si chen,mo chen,57200504717,A5100387244,19,265,281,5159,71
shuxing li,ming li,55315987100,A5100351426,9,258,93,4282,71
zhida li,jia li,57190841490,A5100405681,14,997,334,18198,71
krzysztof starosta,k starosta,7004073992,A5034578283,58,267,627,4947,71
mohammad akbari,mohsen akbari,57212395140,A5039506035,12,246,286,11624,71
xi chen,mo chen,57464181400,A5100387244,6,265,41,5159,71
andreas fischer,alain fischer,57201733481,A5029004287,14,1229,124,101519,71
hao richard zhang,hao zhang,55685656900,A5100397026,76,1370,5888,63147,69
lloyd t elliott,john e elliott,48662120400,A5076714348,27,406,627,10570,69
xin zhang,hao zhang,56591076800,A5100397026,26,1370,330,63147,67
lei chen,mo chen,56612496600,A5100387244,13,265,315,5159,67
benjamin britton,robert britton,25643888600,A5014010162,18,235,1212,5615,67
liang cao,jiguo cao,57467068800,A5062483690,5,201,8,3370,67
simonw p watkins,g d watkins,57203069353,A5109056508,25,256,199,15453,67
hannah v watkins,g d watkins,57211912574,A5109056508,6,256,37,15453,67
shuxing li,cheng li,55315987100,A5100354297,9,840,93,7776,67
jing li,cheng li,57216939987,A5100354297,33,840,1808,7776,67
melanie lee,monica lee,57191731525,A5057346446,14,232,86,5309,67
marina c elliott,john e elliott,55837840200,A5076714348,11,406,666,10570,67
dongwoo kim,jeong‐bon kim,57205207510,A5019704910,8,328,129,14207,67
weiran sun,xiangyu sun,41862484700,A5060002954,23,179,204,3481,67
pei pei,jian pei,58830173600,A5062247330,8,769,218,81217,67
m s martin,jack martin,57223122081,A5061285579,8,399,24,12558,67
chunmei li,cheng li,55696026700,A5100354297,17,840,708,7776,67
d mori,greg mori,56779709600,A5110713539,665,223,39801,10073,67
cheng li,ming li,57208500706,A5100351426,57,258,169,4282,67
tingan li,jia li,57210262931,A5100405681,10,997,118,18198,67
fuyang zhang,hao zhang,57219650380,A5100397026,5,1370,77,63147,67
lishen zhang,hao zhang,57197774098,A5100397026,5,1370,349,63147,67
zhilin zhang,hao zhang,57195335713,A5100397026,11,1370,144,63147,67
jeremy im carpendale,sheelagh carpendale,6602137442,A5012561411,25,426,289,12132,67
xin li,jia li,57189987947,A5100405681,6,997,27,18198,67
kun liu,yan‐jun liu,57217039511,A5100349652,6,261,100,15182,67
kun liu,b liu,57217039511,A5114378471,6,2266,100,110309,67
jin zhang,hao zhang,56652361000,A5100397026,5,1370,450,63147,67
melanie lee,kelley lee,57191731525,A5019363540,14,336,86,10321,67
gabriela aceves sepúlveda,sergio a sepúlveda,57196318181,A5036506208,7,168,17,2633,65
amy yo sue chen,mo chen,57209310043,A5100387244,16,265,220,5159,64
jiangchuan liu,yan‐jun liu,59061428700,A5100349652,5,261,1,15182,64
gerhard gries,regine gries,7006196798,A5113549037,120,253,1431,5588,64
taeyoung kim,jeong‐bon kim,57198491843,A5019704910,8,328,85,14207,64
zhe george zhang,hao zhang,57216960787,A5100397026,73,1370,1039,63147,64
gaoyang liu,yan‐jun liu,57203062038,A5100349652,10,261,63,15182,64
pengyu liu,helen liu,57204160662,A5101610756,9,291,101,3472,63
rosemary claire collard,mark collard,50561130300,A5053375554,15,241,202,8128,63
peng zhang,hao zhang,56963027800,A5100397026,10,1370,37,63147,63
sophie borwein,jonathan m borwein,57203476618,A5088720034,6,847,39,28076,62
ying chen,mo chen,56040387500,A5100387244,16,265,80,5159,62
belinda li,jia li,57215578322,A5100405681,11,997,219,18198,62
kun liu,helen liu,57217039511,A5101610756,6,291,100,3472,62
gang chen,mo chen,57198649249,A5100387244,17,265,211,5159,62
benedikt fischer,alain fischer,56603004800,A5029004287,152,1229,2973,101519,62
ke li,cheng li,57199453570,A5100354297,14,840,281,7776,62
b l liu,helen liu,58372717600,A5101610756,19,291,498,3472,62
alison l palmer,patrick palmer,57195211394,A5090621082,6,443,24,7700,62
lun li,ming li,57211233276,A5100351426,15,258,184,4282,62
qing liu,b liu,56413233700,A5114378471,8,2266,723,110309,62
bingxuan liu,yan‐jun liu,58603818900,A5100349652,303,261,5974,15182,61
zenghui liu,helen liu,56599407500,A5101610756,16,291,139,3472,60
binyu chen,mo chen,57217236520,A5100387244,12,265,173,5159,59
qing liu,helen liu,56413233700,A5101610756,8,291,723,3472,59
wenzao li,cheng li,56089546300,A5100354297,7,840,19,7776,59
bingxuan liu,b liu,58603818900,A5114378471,303,2266,5974,110309,59
tingan li,cheng li,57210262931,A5100354297,10,840,118,7776,59
yuchi chen,mo chen,57193485712,A5100387244,10,265,112,5159,59
belinda li,ming li,57215578322,A5100351426,11,258,219,4282,59
paul chi hang li,cheng li,55638723000,A5100354297,45,840,474,7776,58
lawrence h kim,tae‐ho kim,56742755100,A5100452164,10,238,13,3155,58
suyoung kim,jeong‐bon kim,57211871654,A5019704910,5,328,10,14207,58
margaret grant,d grant,36709627300,A5107864583,5,278,16,18955,57
shaohuang chen,mo chen,57226542790,A5100387244,10,265,50,5159,57
michael w hart,stephen d hart,55684330400,A5055395163,16,264,177,18457,57
karen s palmer,patrick palmer,55959354500,A5090621082,12,443,183,7700,57
dennis y liu,helen liu,57203150185,A5101610756,16,291,459,3472,57
mark a moore,jonathan w moore,7404470812,A5070014514,10,200,115,9090,57
boah kim,jeong‐bon kim,57787556200,A5019704910,6,328,23,14207,57
chunhong liu,helen liu,57218798436,A5101610756,11,291,128,3472,57
jaeyong lee,kelley lee,39762111800,A5019363540,7,336,280,10321,57
guiliang liu,helen liu,57204467338,A5101610756,7,291,216,3472,57
jaeyong lee,monica lee,39762111800,A5057346446,7,232,280,5309,57
xin li,cheng li,57189987947,A5100354297,6,840,27,7776,57
pengyu liu,yan‐jun liu,57204160662,A5100349652,9,261,101,15182,57
lun li,cheng li,57211233276,A5100354297,15,840,184,7776,57
tawei liu,b liu,56555456900,A5114378471,7,2266,300,110309,57
binglin li,cheng li,57205368212,A5100354297,9,840,98,7776,56
tawei liu,helen liu,56555456900,A5101610756,7,291,300,3472,56
jiaxing li,cheng li,58555571700,A5100354297,5,840,16,7776,56
belinda li,cheng li,57215578322,A5100354297,11,840,219,7776,56
zhiqin chen,mo chen,57214778958,A5100387244,14,265,2052,5159,56
boah kim,tae‐ho kim,57787556200,A5100452164,6,238,23,3155,56
yixuan chen,mo chen,57328681600,A5100387244,5,265,36,5159,56
victor y song,xiaowei song,57189496835,A5036261443,8,241,37,8026,56
jeonghun lee,monica lee,57206734156,A5057346446,7,232,73,5309,55
yungshan lee,monica lee,54882053400,A5057346446,10,232,111,5309,55
sanghoon lee,monica lee,57212311772,A5057346446,6,232,567,5309,55
zenghui liu,yan‐jun liu,56599407500,A5100349652,16,261,139,15182,55
ke li,jia li,57199453570,A5100405681,14,997,281,18198,55
margo m moore,jonathan w moore,7404470908,A5070014514,22,200,510,9090,55
danièle moore,jonathan w moore,55465414300,A5070014514,17,200,163,9090,55
kijin kim,jeong‐bon kim,57223212678,A5019704910,5,328,10,14207,55
barun kim,jeong‐bon kim,57203171282,A5019704910,5,328,44,14207,55
wayne jones,steven jm jones,7404562890,A5100728059,27,1284,686,241753,54
careesa chang liu,helen liu,42661778400,A5101610756,19,291,392,3472,54
daniel chonghwan lee,monica lee,57219039850,A5057346446,39,232,323,5309,53
sieun lee,monica lee,36644393200,A5057346446,29,232,817,5309,53
sieun lee,kelley lee,36644393200,A5019363540,29,336,817,10321,53
wenzao li,jia li,56089546300,A5100405681,7,997,19,18198,53
qinghua chen,mo chen,57992064100,A5100387244,6,265,10,5159,53
barun kim,tae‐ho kim,57203171282,A5100452164,5,238,44,3155,53
michelle t chan,jennifer a chan,56714593900,A5067228740,6,384,40,27445,53
zhida li,ming li,57190841490,A5100351426,14,258,334,4282,53
pengyu liu,b liu,57204160662,A5114378471,9,2266,101,110309,53
qing liu,yan‐jun liu,56413233700,A5100349652,8,261,723,15182,53
chunhong liu,yan‐jun liu,57218798436,A5100349652,11,261,128,15182,52
paul chi hang li,ming li,55638723000,A5100351426,45,258,474,4282,52
jiangchuan liu,helen liu,59061428700,A5101610756,5,291,1,3472,52
guiliang liu,yan‐jun liu,57204467338,A5100349652,7,261,216,15182,52
amber moore,jonathan w moore,57194524836,A5070014514,8,200,15,9090,52
jeong bon kim,tae‐ho kim,8304603800,A5100452164,15,238,23,3155,52
paul w jones,steven jm jones,57217388489,A5100728059,5,1284,10,241753,52
john dewey jones,steven jm jones,55636318231,A5100728059,6,1284,11,241753,52
jiangchuan chuan liu,yan‐jun liu,8969748600,A5100349652,301,261,7109,15182,52
tae ho kim,jeong‐bon kim,56168759700,A5019704910,12,328,205,14207,52
dennis y liu,yan‐jun liu,57203150185,A5100349652,16,261,459,15182,52
justin song,xiaowei song,55568333600,A5036261443,10,241,96,8026,52
meehae song,xiaowei song,7401474605,A5036261443,5,241,9,8026,52
woo soo kim,jeong‐bon kim,17136903100,A5019704910,72,328,1368,14207,50
jiacheng chen,mo chen,57203151209,A5100387244,11,265,167,5159,50
gaoyang liu,helen liu,57203062038,A5101610756,10,291,63,3472,50
binglin li,jia li,57205368212,A5100405681,9,997,98,18198,50
shuxing li,jia li,55315987100,A5100405681,9,997,93,18198,50
jiarui li,ming li,59785163100,A5100351426,6,258,440,4282,50
tawei liu,yan‐jun liu,56555456900,A5100349652,7,261,300,15182,50
gaoyang liu,b liu,57203062038,A5114378471,10,2266,63,110309,50
lun li,jia li,57211233276,A5100405681,15,997,184,18198,50
angelica (min hye) lee,monica lee,57215776540,A5057346446,5,232,119,5309,50
wenzao li,ming li,56089546300,A5100351426,7,258,19,4282,50
nansheng chen,mo chen,55573104300,A5100387244,75,265,1509,5159,50
zhida li,cheng li,57190841490,A5100354297,14,840,334,7776,50
chunmei li,jia li,55696026700,A5100405681,17,997,708,18198,50
ke li,ming li,57199453570,A5100351426,14,258,281,4282,50
zenghui liu,b liu,56599407500,A5114378471,16,2266,139,110309,50
christopher david webster,john webster,7201838752,A5112228279,9,426,203,5845,49
alison yueh li,ming li,56039303800,A5100351426,8,258,160,4282,48
hsufeng lee,monica lee,55924615100,A5057346446,5,232,305,5309,48
arita li liu,helen liu,57200987873,A5101610756,6,291,63,3472,48
bingxuan liu,helen liu,58603818900,A5101610756,303,291,5974,3472,48
woo soo kim,tae‐ho kim,17136903100,A5100452164,72,238,1368,3155,48
junwei sun,xiangyu sun,57191975948,A5060002954,9,179,58,3481,48
dongwoo kim,tae‐ho kim,57205207510,A5100452164,8,238,129,3155,48
kennedy s chen,mo chen,57215129380,A5100387244,5,265,273,5159,48
suyoung kim,tae‐ho kim,57211871654,A5100452164,5,238,10,3155,48
chelsey lee,monica lee,57207257893,A5057346446,17,232,164,5309,48
hsufeng lee,kelley lee,55924615100,A5019363540,5,336,305,10321,48
arita li liu,b liu,57200987873,A5114378471,6,2266,63,110309,47
guiliang liu,b liu,57204467338,A5114378471,7,2266,216,110309,47
chunhong liu,b liu,57218798436,A5114378471,11,2266,128,110309,47
chunmei li,ming li,55696026700,A5100351426,17,258,708,4282,47
dennis y liu,b liu,57203150185,A5114378471,16,2266,459,110309,47
yungshan lee,kelley lee,54882053400,A5019363540,10,336,111,10321,45
jeonghun lee,kelley lee,57206734156,A5019363540,7,336,73,10321,45
frank js lee,monica lee,23484073300,A5057346446,8,232,91,5309,45
frank js lee,kelley lee,23484073300,A5019363540,8,336,91,10321,45
taeil kim,jeong‐bon kim,57205700445,A5019704910,10,328,223,14207,45
anthony chan,jennifer a chan,56250973100,A5067228740,5,384,25,27445,44
angelica (min hye) lee,kelley lee,57215776540,A5019363540,5,336,119,10321,44
lawrence h kim,jeong‐bon kim,56742755100,A5019704910,10,328,13,14207,44
b l liu,yan‐jun liu,58372717600,A5100349652,19,261,498,15182,44
careesa chang liu,yan‐jun liu,42661778400,A5100349652,19,261,392,15182,43
prophecy sun,xiangyu sun,57190403711,A5060002954,8,179,11,3481,43
arita li liu,yan‐jun liu,57200987873,A5100349652,6,261,63,15182,43
cheng li,jia li,57208500706,A5100405681,57,997,169,18198,43
sabrina sm lee,monica lee,27169595700,A5057346446,6,232,65,5309,42
jiangchuan liu,b liu,59061428700,A5114378471,5,2266,1,110309,42
kijin kim,tae‐ho kim,57223212678,A5100452164,5,238,10,3155,42
jiangchuan chuan liu,helen liu,8969748600,A5101610756,301,291,7109,3472,41
kelley lee,monica lee,55540777300,A5057346446,96,232,2202,5309,40
kelsey lee,monica lee,58669083900,A5057346446,5,232,18,5309,40
kevin ye,zuo‐guang ye,57204811060,A5029972713,5,578,316,20583,40
amy huei yi lee,monica lee,55477263200,A5057346446,38,232,454,5309,40
alison yueh li,jia li,56039303800,A5100405681,8,997,160,18198,40
amy huei yi lee,kelley lee,55477263200,A5019363540,38,336,454,10321,40
daniel chonghwan lee,kelley lee,57219039850,A5019363540,39,336,323,10321,40
alison yueh li,cheng li,56039303800,A5100354297,8,840,160,7776,36
careesa chang liu,b liu,42661778400,A5114378471,19,2266,392,110309,36
sanghoon lee,kelley lee,57212311772,A5019363540,6,336,567,10321,36
paul chi hang li,jia li,55638723000,A5100405681,45,997,474,18198,36
jiarui li,cheng li,59785163100,A5100354297,6,840,440,7776,35
sabrina sm lee,kelley lee,27169595700,A5019363540,6,336,65,10321,33
jiangchuan chuan liu,b liu,8969748600,A5114378471,301,2266,7109,110309,32
