sv_name,oa_name,sv_id,oa_id,sv_pubs,oa_pubs,sv_cited,oa_cited,similarity_score
joão luiz bastos,joão luiz bastos,12445265000,A5076619980,21,274,49,9453,100
john r best,john r best,34771258200,A5035542400,39,287,270,10622,100
jackson carl burzynski,jackson carl burzynski,57210335824,A5107903626,274,191,3325,2965,100
igor f herbut,igor f herbut,7003565312,A5023970139,56,217,2330,5932,100
felix henningsen,felix henningsen,6602244525,A5020847142,13,320,13,4050,100
sheelagh carpendale,sheelagh carpendale,6507907377,A5012561411,30,426,192,12132,100
philip h winne,philip h winne,6701806415,A5069400021,47,275,1629,19635,100
pavol hell,pavol hell,7004529543,A5075416144,56,300,281,7939,100
kanna hayashi,kanna hayashi,33267650300,A5029471416,191,332,2346,5820,100
byron d gates,byron d gates,7102128759,A5083686700,78,233,946,23803,100
stephen d hart,stephen d hart,7202601274,A5055395163,40,264,956,18457,100
steven jm jones,steven jm jones,55732380600,A5100728059,70,1284,8576,241753,100
nicholas k dulvy,nicholas k dulvy,6701844802,A5011629984,101,306,9196,33370,100
john e elliott,john e elliott,7402852788,A5076714348,24,406,413,10570,100
erik kjeang,erik kjeang,16066971400,A5056229295,132,309,4567,7778,100
kevin s douglas,kevin s douglas,7101692656,A5055295524,70,273,1348,10168,100
peter dickinson,peter dickinson,37106290500,A5110108030,14,360,26,441,100
mehrdad moallem,mehrdad moallem,35609219200,A5031639432,101,269,1295,5618,100
james a maceachern,james a maceachern,6603905976,A5083600826,57,166,1061,6653,100
ralph e mistlberger,ralph e mistlberger,7005970188,A5035497819,33,226,544,9437,100
stephen makonin,stephen makonin,41661920300,A5053665999,32,263,1383,2204,100
cheng li,cheng li,57208500706,A5100354297,57,840,169,7776,100
david b lank,david b lank,7003901330,A5026174358,47,225,1234,7432,100
daniel b leznoff,daniel b leznoff,6701478446,A5035673972,79,670,923,5194,100
greg mori,greg mori,9435382500,A5110713539,82,223,4879,10073,100
j llorente merino,j llorente merino,58165094900,A5077377484,70,1681,2398,92792,100
shahram payandeh,shahram payandeh,7006688369,A5012527565,52,288,225,2643,100
jian pei,jian pei,35273378100,A5062247330,180,769,9086,81217,100
kelley lee,kelley lee,55540777300,A5019363540,96,336,2202,10321,100
scott a lear,scott a lear,7003829555,A5043684388,173,390,16615,31827,100
robert j mcmahon,robert j mcmahon,7201719672,A5004540382,52,269,1049,15278,100
tim storr,tim storr,6507171966,A5029358178,60,262,1587,4774,100
xiaowei song,xiaowei song,10239235900,A5036261443,41,241,761,8026,100
isabelle m côté,isabelle m côté,7005488549,A5048073547,91,324,3561,24274,100
zabrina l brumme,zabrina l brumme,57204349045,A5054186329,131,329,2930,11848,100
bruce p lanphear,bruce p lanphear,7006082907,A5080164344,287,696,14041,41549,100
roger g linington,roger g linington,6508105568,A5015133560,69,193,3526,15270,100
mo chen,mo chen,57007331200,A5100387244,50,265,465,5159,100
julien chopin,julien chopin,57195104543,A5088922176,92,190,840,1077,100
jiguo cao,jiguo cao,14622304000,A5062483690,87,201,871,3370,100
alexander l chapman,alexander l chapman,17134481500,A5042419426,57,240,1595,8317,100
bernard j crespi,bernard j crespi,7006487408,A5089912926,80,305,1926,16276,100
mark collard,mark collard,7102608373,A5053375554,67,241,1674,8128,100
valorie a crooks,valorie a crooks,35585107800,A5057868506,112,254,1165,5924,100
cédric chauve,cédric chauve,6701456474,A5063811688,62,211,1019,3341,100
hao zhang,hao zhang,59130540100,A5100397026,40,1370,624,63147,100
bojan mohar,bojan mohar,24480096600,A5005993212,104,477,677,10193,100
jonathan w moore,jonathan w moore,7405239862,A5070014514,96,200,2866,9090,100
carlo menon,carlo menon,23989261600,A5021515928,215,598,4370,12370,100
samira siahrostami,samira siahrostami,25224903500,A5003552620,14,157,86,20010,100
george kirczenow,george kirczenow,7003642081,A5005284722,19,252,113,6221,100
fiona sl l brinkman,fiona s l brinkman,7003805233,A5050197558,58,194,9010,34224,97
éric m beauregard,éric beauregard,17344924200,A5059754376,176,330,2437,5927,94
robert a britton,robert britton,7101816384,A5014010162,69,235,1973,5615,93
patrick r palmer,patrick palmer,55848695200,A5090621082,24,443,68,7700,93
jeremy c snyder,jeremy snyder,24170239100,A5034219029,88,210,1247,4487,93
stuart j peacock,stuart peacock,55785767800,A5076902800,91,338,2164,8095,93
zuo guang ye,zuo‐guang ye,24443034100,A5029972713,250,578,6625,20583,92
john c harriss,john harriss,7004475771,A5072123694,10,239,41,6905,92
jeong bon kim,jeong‐bon kim,8304603800,A5019704910,15,328,23,14207,92
jack f martin,jack martin,7501555982,A5061285579,23,399,179,12558,92
regine m gries,regine gries,7006335669,A5113549037,64,253,839,5588,92
chris d shaw,chris shaw,7402629891,A5040961656,40,169,717,4406,91
peter v hall,peter hall,57201225750,A5018086501,33,740,191,27239,91
kelsey lee,kelley lee,58669083900,A5019363540,5,336,18,10321,90
tae ho kim,tae‐ho kim,56168759700,A5100452164,12,238,205,3155,90
john r thompson,j r thompson,55730132400,A5102732555,19,400,371,11012,89
hua zhang,hao zhang,56675471800,A5100397026,11,1370,145,63147,89
tiago dias do vale,t dias do vale,57203328885,A5030251424,84,878,967,21526,88
anthony randal mcintosh,anthony r mcintosh,35465675000,A5050825978,16,500,67,42971,88
sergio andrés sepúlveda,sergio a sepúlveda,8694415200,A5036506208,19,168,86,2633,88
carl james schwarz,carl j schwarz,7101995199,A5043600598,21,155,409,4738,88
miriam pearl rosin,miriam p rosin,7005291683,A5089589253,30,268,656,8844,88
jing li,ming li,57216939987,A5100351426,33,258,1808,4282,86
karen l kavanagh,k l kavanagh,35433107700,A5028644503,41,349,275,8589,86
john harvey borden,john h borden,7007168968,A5074800507,8,395,27,11595,84
miao zhang,hao zhang,57193678960,A5100397026,23,1370,376,63147,84
kiffer george card,kiffer g card,57188649371,A5022830508,78,177,778,1669,84
