,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,gail s anderson,a m anderson,A5046194198,A5043746917,81
2,gail s anderson,aspen anderson,A5046194198,A5019882570,76
3,d g armstrong,kyle m armstrong,A5109229854,A5071425274,76
4,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
5,scott c anderson,sean c anderson,A5081601519,A5081686405,77
6,niloufar aran,niloufar abhari,A5086077761,A5034158753,79
7,a m anderson,sean c anderson,A5043746917,A5081686405,81
8,a m anderson,aspen anderson,A5043746917,A5019882570,77
9,joshua d alampi,josh alampi,A5005530879,A5064096264,85
10,sean c anderson,aspen anderson,A5081686405,A5019882570,83
11,niloufar abhari,neilofar amiri,A5034158753,A5088404611,76
12,amirhossein alimohammadi,amirhossein alizadehkhaledi,A5035619284,A5019710534,75
13,nadra ansari,neda anvari,A5058829130,A5085378218,78
14,s beale,s beaupre,A5113500609,A5109835861,75
15,ivan v bajić,lvan v bajic,A5012187461,A5093208285,83
16,robert britton,robert beringer,A5014010162,A5080379500,76
17,mark a brockman,ma brockman,A5021397351,A5062945775,85
18,nicholas blomley,nicholas brunelle,A5028312431,A5008301049,79
19,behraad bahreyni,behdad bahrani,A5014284015,A5115910521,80
20,roberta berard,robert beringer,A5032187087,A5080379500,76
21,andrew p blaber,andrew phillip blaber,A5111618673,A5113110122,83
22,matthew brown,matthew berkowitz,A5041724055,A5060702246,80
23,christopher beh,john‐christopher boyer,A5012256170,A5015743921,76
24,christopher beh,christopher buse,A5012256170,A5118970217,90
25,tom c brown,tom brown,A5112796676,A5078745916,90
26,andreǐ a bulatov,andreĭ a bulatov,A5103266587,A5108247017,94
27,douglas c braun,doug r braun,A5113442963,A5103066580,81
28,megan barker,megan k barker,A5056468452,A5054202306,92
29,tim u h baumeister,tim baumeister,A5019595229,A5058323325,88
30,chandan bhardwaj,ajay bhardwaj,A5038524753,A5103173680,76
31,andreea bratu,andreea barbu,A5064542404,A5098667658,85
32,carmelina barone,celine barton,A5070712495,A5086551641,76
33,cécile bullock,cécile sabatier bullock,A5109673885,A5103921231,76
34,jil a busmann,jil busmann,A5072224327,A5074527350,92
35,adrienne berchtold,adrienne barcket,A5016375531,A5114322973,76
36,lindsay bochon,lindsay babcock,A5079541410,A5049612023,76
37,florian baer,florian r bär,A5066677866,A5092691914,80
38,andrew l bickell,al bickell,A5091568340,A5098008944,77
39,monica bhattacharjee,paloma bhattacharjee,A5044573188,A5010444190,80
40,zohra bhimani,azra bhanji,A5047260551,A5092223217,75
41,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
42,alishba bibal,alishba bilal,A5115512232,A5112957369,92
43,christopher buse,christoph batist,A5118970217,A5100235053,75
44,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
45,z brumme,zl brumme,A5075252668,A5084001641,94
46,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
47,john j clague,j j clague,A5090873433,A5000296592,87
48,sheelagh carpendale,hannah carpendale,A5012561411,A5116816635,78
49,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
50,mo chen,j chen,A5100387244,A5107886267,77
51,mo chen,long chen,A5100387244,A5100336421,75
52,mo chen,imin chen,A5100387244,A5024124555,75
53,caroline colijn,caroline coljin,A5091754800,A5019122524,93
54,caroline colijn,caroline colijin,A5091754800,A5092252314,97
55,sarah l canham,rachel canham,A5056237664,A5034142600,81
56,jing chen,gang chen,A5100394876,A5100389308,78
57,jing chen,si chen,A5100394876,A5100366176,75
58,jing chen,yi-ting chen,A5100394876,A5100348255,76
59,jing chen,j chen,A5100394876,A5107886267,80
60,jing chen,xi chen,A5100394876,A5100690182,75
61,jing chen,long chen,A5100394876,A5100336421,78
62,jing chen,imin chen,A5100394876,A5024124555,78
63,yuxi chen,si chen,A5100764265,A5100366176,75
64,yuxi chen,xi chen,A5100764265,A5100690182,88
65,brian e conway,brian conway,A5109163734,A5101537673,92
66,david c clarke,dave clarke,A5062270975,A5075735110,80
67,david c clarke,dave c clarke,A5062270975,A5112840346,89
68,julian k christians,aisha k christiansen,A5076318644,A5008836455,77
69,deborah a connolly,deb connolly,A5014109821,A5066779521,80
70,gang chen,long chen,A5100389308,A5100336421,78
71,teresa cheung,tessa cheng,A5077739432,A5051697024,83
72,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
73,anita t coté,anita coté,A5072214202,A5066224186,91
74,william a cupples,w a cupples,A5110868279,A5110810484,79
75,rebecca j cobb,rebecca d cox,A5000846228,A5024026724,81
76,john f chant,john p canal,A5010169014,A5054278216,75
77,stephen choi,stephen collis,A5046677225,A5015481958,85
78,stephen choi,stephen chastain,A5046677225,A5016082339,79
79,daniel chang,dave chang,A5044668950,A5011390842,82
80,daniel chang,daniel chiang,A5044668950,A5006979877,96
81,si chen,j chen,A5100366176,A5107886267,77
82,si chen,xi chen,A5100366176,A5100690182,86
83,si chen,imin chen,A5100366176,A5024124555,75
84,yi-ting chen,imin chen,A5100348255,A5024124555,76
85,julia carr,a carr,A5033404204,A5081082111,75
86,kristin chong,christine chuong,A5104109440,A5083724661,83
87,tessa cheng,teresa p cheung,A5051697024,A5079537793,77
88,tessa cheng,vanessa cheung,A5051697024,A5119532228,80
89,im côté,a m côté,A5027736032,A5011587569,80
90,qimin chen,imin chen,A5069419461,A5024124555,95
91,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
92,dani chu,annica chu,A5083177316,A5065197663,78
93,a carr,a carter,A5081082111,A5004107679,86
94,stephanie j cooper,stephanie cooper,A5103638663,A5111618796,94
95,dave chang,daniel chiang,A5011390842,A5006979877,78
96,avneet k chhina,navneet kaur chana,A5042285024,A5004230309,79
97,dave clarke,dave c clarke,A5075735110,A5112840346,92
98,cherlene chang,helen chong,A5077809227,A5110538120,80
99,alexander ciok,alex ciok,A5106492693,A5087730138,78
100,caroline coljin,caroline colijin,A5019122524,A5092252314,97
101,hugo cardoso,hugo fv cardoso,A5102492080,A5078265907,89
102,nicole chan,michelle chan,A5118116197,A5113170352,75
103,j chen,xi chen,A5107886267,A5100690182,77
104,xi chen,imin chen,A5100690182,A5024124555,75
105,b davids,l davis,A5065529657,A5103103853,80
106,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
107,j maxwell donelan,max donelan,A5069056622,A5082745401,79
108,garth w p davies,garth davies,A5061377171,A5104079126,86
