,name1,name2,id1,id2,similarity_score
106,fh garcia,f h garcia,A5085198235,A5006750915,95
107,andrew b harris,andrew harries,A5011644095,A5002454592,90
108,j m ham,c m hamm,A5110345426,A5109802582,80
109,b heinrich,brett heinrich,A5062467718,A5113965832,83
110,laura k hilton,l k hilton,A5013858831,A5088639771,83
111,michael d hathaway,michael j hathaway,A5035254678,A5006660476,94
112,x joan hu,joan hu,A5045961414,A5111259476,88
113,nicholas harden,nicholas m hein,A5006841677,A5001499829,80
114,yang he,yuliang he,A5101932345,A5075080679,82
115,richard e hohn,ric e hohn,A5046358294,A5110946665,83
116,carlos a sierra hernandez,carlos sierra hernandez,A5019781908,A5002843048,96
117,kevan hudson,k hudson,A5024609808,A5006846901,80
118,stephanie hunter,paige hunter,A5039706257,A5056585670,79
119,k hudson,kh hudson,A5006846901,A5035794293,94
120,atia hamidizadeh,hadi hadizadeh,A5019406573,A5114636679,80
121,milad seifnejad haghighi,milad s haghighi,A5115513710,A5115513744,80
122,kassia hayek,kassia hyek,A5009358287,A5086460354,96
123,jonathan han,jonathan hartt,A5081367616,A5093496417,85
124,ric hohn,ric e hohn,A5082680867,A5110946665,89
125,kimia haghighi,milad s haghighi,A5083799867,A5115513744,80
126,roumi ilieva,roumiana ilieva,A5059056746,A5107019523,89
127,valentin jaumouillé,valentin jamouille,A5001004675,A5108922685,92
128,ng jensen,g jensen,A5086281143,A5003321247,94
129,ng jensen,gaby jensen,A5086281143,A5020431334,80
130,worawee janpongsri,worawee japongsori,A5062405993,A5001455481,94
131,g jensen,gaby jensen,A5003321247,A5020431334,84
132,dominic j jaworski,dominic jaworiski,A5085766291,A5119544262,91
133,mohammad mahdi jahanara,mohammadmahdi jahanara,A5069061274,A5089156226,98
134,nitish kumar,hitesh kumar,A5039262439,A5110959612,83
135,t kim,j kim,A5108486202,A5070841883,80
136,katrina koehn,katerina kwon,A5013903764,A5113195379,85
137,suyoung kim,hoyoung kim,A5081300303,A5053435865,82
138,joshua kanaganayagam,josh kanaganayagam,A5039370835,A5034727559,95
139,raminder kaur,raminderjeet kaur,A5114211742,A5028102520,87
140,jacob kemp,jacob m kemp,A5103256265,A5087289082,91
141,isabelle kim,isabelle kwan,A5046423982,A5117279033,80
142,nn kinloch,n kinloch,A5055547267,A5071349214,95
143,kauʻi keliipio,m kaui keliipio,A5059859936,A5045101026,90
144,farhaan muhammad khan,farhaan m khan,A5064198016,A5014608443,80
145,charles krieger,charles kriel,A5064602809,A5098723401,86
146,angela kaida,angela kaidaon,A5091089188,A5095333481,92
147,b liu,z liu,A5114378471,A5075830845,80
