Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches,fi_ln
"van Nieuwkoop, J.",559,2023,42827,76.6,4.57,108,55573054900,https://www.scopus.com/authid/detail.url?authorId=55573054900,Simon Fraser University,van nieuwkoop,v,j,j van nieuwkoop,[],j van nieuwkoop
"Sarunic, Marinko V.",127,2024,3024,23.8,1.44,43,6508176087,https://www.scopus.com/authid/detail.url?authorId=6508176087,University College London,sarunic,s,marinko v,marinko v sarunic,[],m sarunic
"Wister, Andrew Victor",82,2025,1729,21.1,1.55,30,6701495089,https://www.scopus.com/authid/detail.url?authorId=6701495089,Simon Fraser University,wister,w,andrew victor,andrew victor wister,[],a wister
"Card, Kiffer George",78,2025,778,10.0,1.09,20,57188649371,https://www.scopus.com/authid/detail.url?authorId=57188649371,Simon Fraser University,card,c,kiffer george,kiffer george card,[],k card
"Claydon, Victoria Elizabeth",73,2025,1210,16.6,0.92,30,6506256529,https://www.scopus.com/authid/detail.url?authorId=6506256529,Simon Fraser University,claydon,c,victoria elizabeth,victoria elizabeth claydon,[],v claydon
"Eikerling, M. H.",57,2022,1544,27.1,0.95,49,6604046486,https://www.scopus.com/authid/detail.url?authorId=6604046486,Jülich Research Centre,eikerling,e,m h,m h eikerling,[],m eikerling
"Bubela, T. M.",43,2025,597,13.9,1.53,26,6508289453,https://www.scopus.com/authid/detail.url?authorId=6508289453,Simon Fraser University,bubela,b,t m,t m bubela,[],t bubela
"Flowers, Gwenn Elizabeth",40,2025,888,22.2,1.13,30,7006875558,https://www.scopus.com/authid/detail.url?authorId=7006875558,Simon Fraser University,flowers,f,gwenn elizabeth,gwenn elizabeth flowers,[],g flowers
"Gill, Christopher G.",39,2024,675,17.3,1.38,23,57212485188,https://www.scopus.com/authid/detail.url?authorId=57212485188,University of Victoria BC,gill,g,christopher g,christopher g gill,[],c gill
"Lee, Daniel Chonghwan",39,2025,323,8.3,0.59,16,57219039850,https://www.scopus.com/authid/detail.url?authorId=57219039850,Simon Fraser University,lee,l,daniel chonghwan,daniel chonghwan lee,[],d lee
"Gutman, G. M.",38,2025,341,9.0,0.67,20,34769660700,https://www.scopus.com/authid/detail.url?authorId=34769660700,Simon Fraser University,gutman,g,g m,g m gutman,[],g gutman
"Sahinalp, Suleyman Cenk",38,2023,1909,50.2,4.08,22,57221592020,https://www.scopus.com/authid/detail.url?authorId=57221592020,National Institutes of Health,sahinalp,s,suleyman cenk,suleyman cenk sahinalp,[],s sahinalp
