,name1,name2,id1,id2,similarity_score
0,sean c anderson,aspen m anderson,25930284300,57194637587,84
1,mohammad akbari,mohammad amani,57212395140,56239028500,83
2,kathleen a akins,kathleen akinsc,55105815400,57216688017,90
3,oluwafemi akintola,oluwafemi s akintola,57218423351,56965067200,95
4,stella atkins,m stella atkins,56654006700,7102310616,93
5,éric m beauregard,eric beauregarda,17344924200,59806848700,85
6,ivan v bajic,ivan v bajjc,6602479101,59465106300,92
7,ivan v bajic,lvan v bajic,6602479101,59119893600,92
8,heesoon bai,beesoon bai,42760951000,57937968100,91
9,derek r bingham,derek bingham,57204216471,7004856179,93
10,david v burley,avid v burley,7004232335,57218515194,96
11,tom c brown,tom brown,24433859000,57225808826,90
12,ethan brown,sean brown,59467571400,57543086500,86
13,ivan v bajjc,lvan v bajic,59465106300,59119893600,83
14,alishba bilal,alishba bibal,58480796700,59482580700,92
15,julien chopin,julien chopinb,57195104543,59812475700,96
16,isabelle m côté,isabelle m cȏté,7005488549,58680470600,93
17,caroline colijn,caroline coljin,16416871500,57221322504,93
18,d s cross,d c cross,12645477200,58313184000,89
19,cary campbell,lara campbell,57202919677,57209555584,85
20,si chen,xi chen,57200504717,57464181400,86
21,ying chen,jing chen,56040387500,55049017000,89
22,ying chen,yiting chen,56040387500,59353414700,90
23,imin chen,qimin chen,35306560600,57382754500,95
24,imin chen,aimin chen,35306560600,55447267000,95
25,long chen,cong chen,57202349101,57221774756,89
26,daniel h chang,daniel chiang,57211297356,58042961200,89
27,stephanie g craig,stephanie w chang,55520207400,57040127500,82
28,jiacheng chen,jing chen,57203151209,55049017000,82
29,kristin chong,christine chuong,56572138800,57917651800,83
30,yuchi chen,yuxi chen,57193485712,59549734700,84
31,george h cheng,george cheng,56085514500,59501786900,92
32,yixuan chen,siyuan chen,57328681600,59817205600,82
33,qimin chen,aimin chen,57382754500,55447267000,90
34,john r calvert,john calvert,58827810200,56719213100,92
35,tian chen,aotian chen,57220043419,59352990300,90
36,anqi a chen,anqi chen,58830295700,57219394662,90
37,wuyang chen,zhuang chen,57214459624,57209849920,82
38,alexander clapp,alexander clow,56997016900,57222103241,83
39,alexander ciok,alexander clow,57974985600,57222103241,86
40,lara campbell,tylar campbell,57209555584,59135252300,89
41,anqi chen,jiaqi chen,57219394662,58018476700,84
42,stephanie l cooper,stephanie cooper,57821779900,59415748800,94
43,zhefan chen,zhuang chen,57222654013,57209849920,82
44,jiayue chen,yue chen,57221630885,57216638641,84
45,roy carlson,roy l carlson,59807760700,7402666341,92
46,yubo chen,yue chen,57218701161,57216638641,82
47,maude comtois cabana,maude comtois-cabana,58287914600,58061917200,95
48,yuxi chen,yue chen,59549734700,57216638641,82
49,yuxi chen,xi chen,59549734700,57464181400,88
50,hongwen chen,bowen chen,58666893100,57219506217,82
51,t d dias do vale,t dias do vale,57201730337,57202912172,93
52,nilgun donmez,anil donmez,57211702395,57225927794,83
53,ryan cn dʼarcy,ryan cn d’arcy,7004268181,56840385400,93
54,a catherine d’andrea,catherine dandrea,59157783100,59814698200,92
55,thushani de silva,g lthushani de silva,57287468800,57575566400,92
56,heather de forest,heather deforest,57792002700,59373208900,97
57,siying duan,ying duan,57212346127,57203331764,90
58,lauren desouza,lauren de souza,57215934820,57214111535,97
59,maggie e duncan,maggie c duncan,59647175000,57216222262,93
60,jayson eppler,jayson epplera,55620693600,57998385200,96
61,shirin fartash fartah tolue,shirin fartash toloue,56483186100,57215828343,83
62,jennifer fang,jennifer fane,56856315600,56268773600,92
63,kate e fraser,kate m fraser,57220106603,57217134072,92
64,susanne w fietz,w susanne fietz,58558920700,57218855997,87
65,jingxue feng,jiuen feng,57204292684,59152182400,82
66,karen ferguson,arron ferguson,57998535800,57211241158,86
67,belén febres-cordero,belen febres-codero,57200176320,58689678000,92
68,cai mitsu feng,cai (mitsu) feng,57723250300,59173501800,93
69,charles harry goldsmith,charles h goldsmith,24359010500,57223164224,90
70,uwe glässer,uwe gl sser,6507645629,58990528300,91
71,christina m giovas,kristina m gicas,26429468000,56411977100,82
72,yu gong,ye gong,57210636353,57392372000,86
73,spencer greening,spencer greening lagoot,57213334854,58680264800,82
74,bhargav j gadhvi,bhargav gadhavi,56582435700,57948030800,90
75,wyatt gronnemose,wyatt gronnemosea,58676962100,57997869400,97
76,wanhaoyi geng,wanhayoi geng,57220890035,59029455600,92
77,peter v hall,peter a hall,57201225750,55332947200,92
78,mohamed m hefeeda,mohamed hefeeda,20433459500,57204281290,94
79,kaisong huang,hailong huang,57233901800,57192586510,85
80,kirk j hepburn,kirk hepburn,57217693682,57217055832,92
81,yang he,yuliang he,57219241387,57453661700,82
82,ian hutchinson,jim hutchinson,57206426930,57212408054,86
83,ian hutchinson,olivia n hutchinson,57206426930,57218667819,85
84,william wl ho,william wl hsiao,59161285900,34979903200,90
85,william hsiao,william wl hsiao,59207795900,34979903200,90
86,k a hudson,k h hudson,57208184515,59803235800,90
87,dal yong jin,dalyong jin,7201973561,59794341400,96
88,worawee janpongsri,worawee japongsori,57211405320,57220933225,94
89,raj johal,am johal,57211955754,57224160661,82
90,thomas d jennewein,thomas jennewein,6701569164,59475179000,94
91,bocheng jing,cheng jin,57203870786,58078867300,86
92,fahmid kabir,amin kabir,57204906651,59345453700,82
93,dustin t king,justin j king,55202285800,55603882200,85
