OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,first_names,last_name,last_init,name_raw,id,fi_ln
A5038304841,https://orcid.org/0000-0001-6906-7578,Dennis Liu,"['D.Y.W. Liu', 'Dennis Liu', 'Dennis Y W Liu', 'Dennis Y. W Liu', 'Dennis Y. W. Liu', 'Dennis Y.W. Liu', 'Dou Liu']",78,493,11,19,Dennis,Liu,l,dennis liu,A5038304841,D Liu
A5019897984,https://orcid.org/0009-0004-9350-4060,Yuning Su,"['Su, Yu-Ning', 'Yuning Su']",27,747,9,6,Yuning,Su,s,yuning su,A5019897984,Y Su
A5074381164,,Rachel Chimuka,['Rachel Chimuka'],12,0,0,1,Rachel,Chimuka,c,rachel chimuka,A5074381164,R Chimuka
A5004979220,https://orcid.org/0000-0003-2786-1874,Neha Sharma,"['N Sharma', 'N. Sharma', 'NEHA SHARMA', 'Neha Sharma', 'Neha Sharma,', 'Priyanka']",195,2493,30,58,Neha,Sharma,s,neha sharma,A5004979220,N Sharma
A5032575895,https://orcid.org/0000-0001-5964-7536,Sarah K. Thomsen,"['Jennifer Ruesink', 'Sarah K Thomsen', 'Sarah K. Thomsen', 'Sarah Thomsen']",14,118,7,8,Sarah K.,Thomsen,t,sarah k. thomsen,A5032575895,S Thomsen
A5080932605,,Jaylene S. Pratt,"['JAYLENE S. PRATT', 'Jaylene Pratt', 'Jaylene S. Pratt', 'Pratt, Jaylene']",7,15,3,2,Jaylene S.,Pratt,p,jaylene s. pratt,A5080932605,J Pratt
A5059302300,,Ekaterina Stogova,"['E Stogova', 'E. A. Stogova', 'Ekaterina Stogova', 'Stogova, Ekaterina']",6,9,1,3,Ekaterina,Stogova,s,ekaterina stogova,A5059302300,E Stogova
A5076913086,https://orcid.org/0000-0002-2336-569X,Niannian Yu,"['N. N. Yu', 'N. Yu', 'Nian-Nian Yu', 'Niannian Yu', 'Yu, N.', 'Yu, Niannian']",41,657,15,10,Niannian,Yu,y,niannian yu,A5076913086,N Yu
A5053361647,,Roland Sieghartsleitner,"['Roland Sieghartsleitner', 'Sieghartsleitner, Roland Gilbert']",20,237,5,4,Roland,Sieghartsleitner,s,roland sieghartsleitner,A5053361647,R Sieghartsleitner
A5108585653,,Bonnie Henry,"['B HENRY', 'B Henry', 'B. Charles Henry', 'B. Henry', 'BONNIE HENRY', 'Bonnie Henry', 'Hanrahan', 'Henry B.', 'John Galbraith']",122,5905,34,42,Bonnie,Henry,h,bonnie henry,A5108585653,B Henry
A5101702608,https://orcid.org/0000-0002-3221-4623,David Murphy,"['D MURPHY', 'D Murphy', 'D. J. Murphy', 'D. Murphy', 'David J Murphy', 'David J. Murphy', 'David Murphy', 'Murphy, David']",68,1133,15,30,David,Murphy,m,david murphy,A5101702608,D Murphy
A5002899881,https://orcid.org/0000-0003-1824-1331,Joshua M. Allen,"['Allen, Joshua M.', 'Joshua M. Allen']",9,16,2,2,Joshua M.,Allen,a,joshua m. allen,A5002899881,J Allen
A5010208879,,Erica Chuang,"['Erica Chuang', 'Erica S.Y. Chuang', 'Erica SY Chuang']",10,198,6,5,Erica,Chuang,c,erica chuang,A5010208879,E Chuang
A5045319866,https://orcid.org/0000-0002-5842-7723,John H. Herrick,"['Herrick, John', 'Herrick, John H.', 'J Herrick', 'J. Herrick', 'John H. Herrick', 'John Herrick']",401,1408,20,28,John H.,Herrick,h,john h. herrick,A5045319866,J Herrick
A5029698497,https://orcid.org/0000-0001-9329-1019,Ali Bhagat,"['Ali Bhagat', 'Ali H Bhagat']",33,381,9,4,Ali,Bhagat,b,ali bhagat,A5029698497,A Bhagat
A5023765605,https://orcid.org/0000-0002-2341-6477,Hazra Imran,['Hazra Imran'],31,371,8,11,Hazra,Imran,i,hazra imran,A5023765605,H Imran
A5070714748,https://orcid.org/0000-0001-8870-4851,W. A. MacFarlane,"['A. MacFarlane', 'A. Macfarlane', 'A. W. MacFarlane', 'MacFarlane, W. A.', 'MacFarlane, W. Andrew', 'MacFarlane, W.A.', 'Macfarlane, W. A.', 'W A MacFarlane', 'W. A. MACFARLANE', 'W. A. MacFarlane', 'W. A. Macfarlane', 'W. Andrew MacFarlane', 'W. Andrew Macfarlane', 'W. MacFarlane', 'W.A MacFarlane', 'W.A. MacFarlane', 'W.\u2009A. MacFarlane', 'William A. MacFarlane', 'William MacFarlane']",255,4934,35,34,W. A.,MacFarlane,m,w. a. macfarlane,A5070714748,W MacFarlane
A5012412464,https://orcid.org/0000-0003-2233-0919,Alex Mihailidis,"['A Mihailidis', 'A, Mihailidis', 'A. Mihailidis', 'ALEX MIHAILIDIS', 'Alex Mihailidis', 'Mihailidis A.', 'Mihailidis Alex', 'Mihailidis, A.', 'Mihailidis, Alex']",446,11646,52,29,Alex,Mihailidis,m,alex mihailidis,A5012412464,A Mihailidis
A5054509444,https://orcid.org/0000-0001-5089-4071,Neil Boyd,"['Boyd, Neil', 'N. Boyd', 'Neil Boyd', 'Neil M. Boyd']",105,2274,23,9,Neil,Boyd,b,neil boyd,A5054509444,N Boyd
A5075820550,https://orcid.org/0000-0003-0265-0667,David Clarke,"['Clarke, D.', 'Clarke, David', 'Clarke, David J.', 'D Clarke', 'D. Clarke', 'D. J. Clarke', 'D.J. Clarke', 'DAVID CLARKE', 'David Clarke', 'David Clarke (79349)', 'David J Clarke', 'David J. CLARKE', 'David J. Clarke', 'David John Clarke', 'Dj Clarke', 'Dr. David Clarke', 'Leonie Hayles', 'f f']",222,6431,33,17,David,Clarke,c,david clarke,A5075820550,D Clarke
A5013722595,https://orcid.org/0000-0003-3710-5773,Joseph H. Puyat,"['J. H. Puyat', 'J. Puyat', 'J.H. Puyat', 'JOSEPH H. PUYAT', 'Joseph H Puyat', 'Joseph H. Puyat', 'Joseph Puyat', 'Puyat, Joseph H.', 'Puyat, Joseph Hernandez']",117,1599,22,22,Joseph H.,Puyat,p,joseph h. puyat,A5013722595,J Puyat
A5027657431,https://orcid.org/0000-0001-6333-1198,Stephen J. Havlovic,"['Havlovic, Stephen J.', 'STEPHEN J. HAVLOVIC', 'Stephen Havlovic', 'Stephen J. Havlovic']",23,959,10,5,Stephen J.,Havlovic,h,stephen j. havlovic,A5027657431,S Havlovic
A5021664239,https://orcid.org/0000-0002-6418-4676,Peter Birks,"['P. Birks', 'Peter Birks', 'Peter C Birks', 'Peter C. Birks', 'Peter Crawford Birks']",31,119,6,8,Peter,Birks,b,peter birks,A5021664239,P Birks
A5074222650,https://orcid.org/0000-0002-0090-5542,Ramis Rafay,"['Rafay, Ramis', 'Ramis Rafay']",10,89,4,2,Ramis,Rafay,r,ramis rafay,A5074222650,R Rafay
A5001286110,https://orcid.org/0000-0003-0379-0100,Daniel J. Gibson,"['Alexandra D. Avera', 'D. Gibson', 'D. J. Gibson', 'D.J. Gibson', 'DANIEL GIBSON', 'Daniel Gibson', 'Daniel J Gibson', 'Daniel J. Gibson', 'Daniel James Gibson', 'Gibson, Daniel', 'Gibson, Daniel A. (author)', 'Gibson, Daniel J.']",101,3521,25,33,Daniel J.,Gibson,g,daniel j. gibson,A5001286110,D Gibson
A5060135722,,Hossein Hajimirsadeghi,"['H. Hajimirsadeghi', 'Hajimirsadeghi, Hossein', 'Hossein Hajimirsadeghi']",43,535,11,3,Hossein,Hajimirsadeghi,h,hossein hajimirsadeghi,A5060135722,H Hajimirsadeghi
A5010989172,https://orcid.org/0000-0003-3129-0664,Maurizio Palesi,"['M Palesi', 'M. Palesi', 'MAURIZIO PALESI', 'Maurizio Palesi', 'Palesi, Maurizio']",247,3985,30,22,Maurizio,Palesi,p,maurizio palesi,A5010989172,M Palesi
A5070852636,,Álvaro Higueras,"['Alvaro Higueras', 'Higueras, Álvaro', 'Jimenez Higueras, A', 'Álvaro Higueras']",22,58,4,4,Álvaro,Higueras,h,álvaro higueras,A5070852636,Á Higueras
A5015575272,https://orcid.org/0000-0003-3178-0743,Jane Fowler,"['Fowler, Jane', 'Fowler, S. Jane', 'Jane Fowler', 'S Jane Fowler', 'S. Jane Fowler', 'Susan Jane Fowler']",39,1833,14,3,Jane,Fowler,f,jane fowler,A5015575272,J Fowler
A5098879053,https://orcid.org/0009-0006-5249-3865,Sepehr Pandsheno,"['Pandsheno, Sepehr', 'Sepehr Pandsheno']",8,1,1,1,Sepehr,Pandsheno,p,sepehr pandsheno,A5098879053,S Pandsheno
A5012701075,https://orcid.org/0000-0001-6421-7434,Natalie Prystajecky,"['N Prystajecky', 'N. Prystajecky', 'NATALIE PRYSTAJECKY', 'Natalie A Prystajecky', 'Natalie A. Prystajecky', 'Natalie Prystajecky', 'Prystajecky, Natalie', 'Prystajecky, Natalie A.', 'Prystajecky, Natalie Anne']",160,2789,26,26,Natalie,Prystajecky,p,natalie prystajecky,A5012701075,N Prystajecky
A5086236800,https://orcid.org/0000-0002-5814-5777,Étienne Richer,"['E Richer', 'E. Richer', 'Etienne Richer', 'Richer, Etienne', 'Étienne Richer']",32,582,14,24,Étienne,Richer,r,étienne richer,A5086236800,É Richer
A5054088513,https://orcid.org/0000-0002-8059-6152,Yue Chen,"['Chen, Yue', 'Yue Chen']",22,455,6,18,Yue,Chen,c,yue chen,A5054088513,Y Chen
A5062380176,https://orcid.org/0000-0002-3180-7451,Simon M. Lucas,"['James Keller', 'Lucas, Simon', 'Lucas, Simon M.', 'S Lucas', 'S. Lucas', 'S. M. LUCAS', 'S. M. Lucas', 'S.M. Lucas', 'S.M. Lucast', 'Simon Lucas', 'Simon M Lucas', 'Simon M. Lucas', 'Simon M. M. Lucas', 'Simon Mark Lucas']",357,9461,40,27,Simon M.,Lucas,l,simon m. lucas,A5062380176,S Lucas
A5034546229,https://orcid.org/0009-0004-1361-4092,Alexandra Wieland,['Alexandra Wieland'],6,0,0,1,Alexandra,Wieland,w,alexandra wieland,A5034546229,A Wieland
A5039614567,https://orcid.org/0000-0002-7807-7484,M. Danninger,"['C. Dallapiccola', 'Cioara, Irina Antonela', 'Cormier, Felix', 'Czodrowski, Patrick Karl', 'Dai, Tiesheng', 'Dal Santo, Daniele', 'Dam, Mogens', 'Damp, Johannes Frederic', 'Daneri, Maria Florencia', 'Dann, NS', 'Danninger, M', 'Danninger, M.', 'Danninger, Matthias', 'Darbo, Nanni', 'De, Kaushik', 'G. D’anniballe', 'Gudnadottir, Olga', 'J. Damp', 'Li, Liang', 'Love, Peter', 'Luci, Claudio', 'Lucio Alves, Fabio Lucio', 'M Danninger', 'M. Dam', 'M. Danninger', 'Matthias Danninger', 'Mohamed, ATA', 'Strauss, M', ""d'Auria, Saverio"", '\xa0M. Danninger']",1250,63282,120,61,M.,Danninger,d,m. danninger,A5039614567,M Danninger
A5020892699,https://orcid.org/0000-0002-8822-6789,Jennifer Zerkee,"['Jennifer Zerkee', 'Jennifer Zerkee, Stephanie Savage', 'Zerkee, Jennifer']",20,15,2,1,Jennifer,Zerkee,z,jennifer zerkee,A5020892699,J Zerkee
A5015428749,https://orcid.org/0000-0002-1215-4571,Lisa Y. Lin,"['L. Lin', 'Lisa Lin', 'Lisa Y. Lin']",50,350,10,10,Lisa Y.,Lin,l,lisa y. lin,A5015428749,L Lin
A5102732934,https://orcid.org/0000-0002-1707-8141,Lovedeep Gondara,"['Gondara Lovedeep', 'Gondara, Lovedeep', 'L Gondara', 'L. Gondara', 'Lovedeep Gondara']",85,2145,19,8,Lovedeep,Gondara,g,lovedeep gondara,A5102732934,L Gondara
A5041841000,,Robert L. Williamson,"['R.L. Williamson', 'Robert L Williamson', 'Robert L. Williamson', 'Robert Williamson', 'Williamson, Robert L.']",36,324,8,10,Robert L.,Williamson,w,robert l. williamson,A5041841000,R Williamson
A5101827388,https://orcid.org/0000-0003-3063-6723,Michael Chang,"['Chang, Michael', 'M C Chang', 'M Chang', 'M.C. Chang', 'Michael C Chang', 'Michael C. Chang', 'Michael C. J. Chang', 'Michael C. S. Chang', 'Michael C.S Chang', 'Michael C.S. Chang', 'Michael CHANG', 'Michael Chang', 'Michael Chao-Sheng Chang']",82,3095,22,31,Michael,Chang,c,michael chang,A5101827388,M Chang
