,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,gail s anderson,a m anderson,A5046194198,A5043746917,81
2,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
3,a m anderson,sean c anderson,A5043746917,A5081686405,81
4,joshua d alampi,josh alampi,A5005530879,A5064096264,85
5,sean c anderson,aspen anderson,A5081686405,A5019882570,83
6,ivan v bajić,lvan v bajic,A5012187461,A5093208285,83
7,mark a brockman,ma brockman,A5021397351,A5062945775,85
8,behraad bahreyni,behdad bahrani,A5014284015,A5115910521,80
9,andrew p blaber,andrew phillip blaber,A5111618673,A5113110122,83
10,matthew brown,matthew berkowitz,A5041724055,A5060702246,80
11,christopher beh,christopher buse,A5012256170,A5118970217,90
12,tom c brown,tom brown,A5112796676,A5078745916,90
13,andreǐ a bulatov,andreĭ a bulatov,A5103266587,A5108247017,94
14,douglas c braun,doug r braun,A5113442963,A5103066580,81
15,megan barker,megan k barker,A5056468452,A5054202306,92
16,tim u h baumeister,tim baumeister,A5019595229,A5058323325,88
17,andreea bratu,andreea barbu,A5064542404,A5098667658,85
18,jil a busmann,jil busmann,A5072224327,A5074527350,92
19,florian baer,florian r bär,A5066677866,A5092691914,80
20,monica bhattacharjee,paloma bhattacharjee,A5044573188,A5010444190,80
21,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
22,alishba bibal,alishba bilal,A5115512232,A5112957369,92
23,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
24,z brumme,zl brumme,A5075252668,A5084001641,94
25,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
26,john j clague,j j clague,A5090873433,A5000296592,87
27,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
28,caroline colijn,caroline coljin,A5091754800,A5019122524,93
29,caroline colijn,caroline colijin,A5091754800,A5092252314,97
30,sarah l canham,rachel canham,A5056237664,A5034142600,81
31,jing chen,j chen,A5100394876,A5107886267,80
32,yuxi chen,xi chen,A5100764265,A5100690182,88
33,brian e conway,brian conway,A5109163734,A5101537673,92
34,david c clarke,dave clarke,A5062270975,A5075735110,80
35,david c clarke,dave c clarke,A5062270975,A5112840346,89
36,deborah a connolly,deb connolly,A5014109821,A5066779521,80
37,teresa cheung,tessa cheng,A5077739432,A5051697024,83
38,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
39,anita t coté,anita coté,A5072214202,A5066224186,91
40,rebecca j cobb,rebecca d cox,A5000846228,A5024026724,81
41,stephen choi,stephen collis,A5046677225,A5015481958,85
42,daniel chang,dave chang,A5044668950,A5011390842,82
43,daniel chang,daniel chiang,A5044668950,A5006979877,96
44,si chen,xi chen,A5100366176,A5100690182,86
45,kristin chong,christine chuong,A5104109440,A5083724661,83
46,tessa cheng,vanessa cheung,A5051697024,A5119532228,80
47,im côté,a m côté,A5027736032,A5011587569,80
48,qimin chen,imin chen,A5069419461,A5024124555,95
49,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
50,a carr,a carter,A5081082111,A5004107679,86
51,stephanie j cooper,stephanie cooper,A5103638663,A5111618796,94
52,dave clarke,dave c clarke,A5075735110,A5112840346,92
53,cherlene chang,helen chong,A5077809227,A5110538120,80
54,caroline coljin,caroline colijin,A5019122524,A5092252314,97
55,hugo cardoso,hugo fv cardoso,A5102492080,A5078265907,89
56,b davids,l davis,A5065529657,A5103103853,80
57,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
58,garth w p davies,garth davies,A5061377171,A5104079126,86
59,nilgun donmez,anil donmez,A5053611147,A5027106147,83
60,andréanne doyon,andré doyon,A5020845547,A5066893131,85
61,andréanne doyon,andreanne doyon,A5020845547,A5106389029,93
62,thomas donaldson,tom donaldson,A5002800300,A5046128130,90
63,sebastian dille,sebastian damin,A5049760941,A5038535256,80
64,lloyd t elliott,lt elliott,A5088544768,A5114020486,80
65,clara vada etter,clara v etter,A5077611536,A5068946645,90
66,alain fischer,kayla fischler,A5029004287,A5016098002,81
67,richard g frank,richard frank,A5018486913,A5030367930,93
68,faranak farzan,farnak farzan,A5015821361,A5016330282,96
69,andrei v frolov,andrei v frolovand,A5036300411,A5047401072,91
70,henry a finn,henry finn,A5029860397,A5080374417,91
71,ron ferguson,arron ferguson,A5113563751,A5037222281,92
72,sina fatolahzadeh,s fatolahzadeh,A5028619456,A5106384340,90
73,sheri fabian,sheryl c fabian,A5076158895,A5092626911,81
74,reza farzam,r farzam,A5061603743,A5092972281,84
75,bill t fischer,w t fischer,A5057550186,A5032463725,80
76,susanne w fietz,w susanne fietz,A5093010858,A5052771299,87
77,biruté m f galdikas,birute mary f galdikas,A5110301419,A5110389729,88
78,alissa greer,alissa m greer,A5037509232,A5102942084,92
79,daniel r y gan,daniel ry gan,A5075926575,A5091261371,96
80,thomas gunton,tom gunton,A5059560375,A5113412320,87
81,shreemouna gurung,sheemouna gurung,A5088826260,A5114125674,97
82,bhargav gadhvi,bhargav gadhavi,A5024718097,A5067698309,97
83,paneet gill,pavreet k gill,A5104096209,A5014787119,80
84,h dan gibson,h daniel gibson,A5062475859,A5022558865,89
85,david j green,d j green,A5027361434,A5022328570,82
86,emma griggs,e griggs,A5048222452,A5096227643,84
87,wanhaoyi geng,wanhayoi geng,A5069750402,A5058844042,92
88,fh garcia,f h garcia,A5085198235,A5006750915,95
89,andrew b harris,andrew harries,A5011644095,A5002454592,90
90,j m ham,c m hamm,A5110345426,A5109802582,80
91,b heinrich,brett heinrich,A5062467718,A5113965832,83
92,laura k hilton,l k hilton,A5013858831,A5088639771,83
93,michael d hathaway,michael j hathaway,A5035254678,A5006660476,94
94,x joan hu,joan hu,A5045961414,A5111259476,88
95,nicholas harden,nicholas m hein,A5006841677,A5001499829,80
96,yang he,yuliang he,A5101932345,A5075080679,82
97,richard e hohn,ric e hohn,A5046358294,A5110946665,83
98,carlos a sierra hernandez,carlos sierra hernandez,A5019781908,A5002843048,96
99,kevan hudson,k hudson,A5024609808,A5006846901,80
100,k hudson,kh hudson,A5006846901,A5035794293,94
101,atia hamidizadeh,hadi hadizadeh,A5019406573,A5114636679,80
102,milad seifnejad haghighi,milad s haghighi,A5115513710,A5115513744,80
103,kassia hayek,kassia hyek,A5009358287,A5086460354,96
104,jonathan han,jonathan hartt,A5081367616,A5093496417,85
105,ric hohn,ric e hohn,A5082680867,A5110946665,89
106,kimia haghighi,milad s haghighi,A5083799867,A5115513744,80
