OpenAlex ID,ORCID,Name,Alt Names,Publications,Citations,h-index,Number of Institutions,first_names,last_name,last_init,name_raw,id,fi_ln
A5043607509,,Lauren Fridman,"['Fridman Lauren', 'Fridman, Lauren', 'L. Fridman', 'L. M. Fridman', 'Lauren Fridman']",13,37,3,4,lauren,fridman,f,lauren fridman,A5043607509,l fridman
A5040749724,https://orcid.org/0000-0003-0717-5682,Peter R. Malone,"['P Malone', 'P R Malone', 'P. MALONE', 'P. Malone', 'P. R. MALONE', 'P. R. Malone', 'P.R Malone', 'P.R. MALONE', 'P.R. Malone', 'PETER MALONE', 'PETER R. MALONE', 'Peter Malone', 'Peter R Malone', 'Peter R. Malone']",152,1932,26,34,peter r.,malone,m,peter r. malone,A5040749724,p malone
A5054770258,https://orcid.org/0000-0002-4718-6119,Rotem Kahalon,"['Kahalon, Rotem', 'Rotem Kahalon']",56,645,13,7,rotem,kahalon,k,rotem kahalon,A5054770258,r kahalon
A5057319228,,Enkhtuul Enkhtuya,"['E. Enkhtuya', 'Enkhtuul Enkhtuya']",8,54,4,2,enkhtuul,enkhtuya,e,enkhtuul enkhtuya,A5057319228,e enkhtuya
A5007325522,,Syedvali Pinjari,"['Pinjari Syedvali', 'Pinjari, Syedvali', 'Syedvali Pinjari']",7,177,4,4,syedvali,pinjari,p,syedvali pinjari,A5007325522,s pinjari
A5018486913,https://orcid.org/0000-0003-1551-7072,Richard G. Frank,"['Frank Richard G.', 'Frank, Richard', 'Frank, Richard G.', 'MD', 'R Frank', 'R G Frank', 'R. Frank', 'R. G. Frank', 'RICHARD FRANK', 'RICHARD G. FRANK', 'Richard Frank', 'Richard G Frank', 'Richard G.\n    Frank', 'Richard G. FRANK', 'Richard G. Frank', 'Richard Gabriel Frank']",556,21631,69,70,richard g.,frank,f,richard g. frank,A5018486913,r frank
A5045660668,,Nardia Strydom,"['N. Strydom', 'Nardia Strydom']",12,132,5,5,nardia,strydom,s,nardia strydom,A5045660668,n strydom
A5030201362,https://orcid.org/0000-0002-9474-4865,Nigel Harwood,"['Claire Kramsch', 'N A Harwood', 'N HARWOOD', 'N. Harwood', 'NIGEL HARWOOD', 'Nigel Harwood']",70,3118,27,59,nigel,harwood,h,nigel harwood,A5030201362,n harwood
A5003414139,,Marianne Jacquet,"['M. Pierre A. Jacquet', 'Marianne Jacquet']",45,256,9,5,marianne,jacquet,j,marianne jacquet,A5003414139,m jacquet
A5056543952,https://orcid.org/0000-0003-0709-0160,Richard Bent,"['Bent, Richard', 'R. R. BENT', 'Richard Bent']",53,372,10,4,richard,bent,b,richard bent,A5056543952,r bent
A5054246138,,Ali Rahnama,['Ali Rahnama'],22,121,6,6,ali,rahnama,r,ali rahnama,A5054246138,a rahnama
A5083558198,https://orcid.org/0000-0001-6485-7263,Dan Bilsker,"['D Bilsker', 'D. Bilsker', 'Dan Bilsker']",48,899,16,7,dan,bilsker,b,dan bilsker,A5083558198,d bilsker
A5112232633,,Lisa A. Ronald,"['L A Ronald', 'L Ronald', 'L. A. Ronald', 'Lisa A Ronald', 'Lisa A. Ronald', 'Lisa Ronald', 'Ronald L.', 'Ronald, Lisa A.']",39,1081,22,10,lisa a.,ronald,r,lisa a. ronald,A5112232633,l ronald
