,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
2,christopher beh,christopher buse,A5012256170,A5118970217,90
3,tom c brown,tom brown,A5112796676,A5078745916,90
4,andreǐ a bulatov,andreĭ a bulatov,A5103266587,A5108247017,94
5,megan barker,megan k barker,A5056468452,A5054202306,92
6,tim u h baumeister,tim baumeister,A5019595229,A5058323325,88
7,jil a busmann,jil busmann,A5072224327,A5074527350,92
8,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
9,alishba bibal,alishba bilal,A5115512232,A5112957369,92
10,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
11,z brumme,zl brumme,A5075252668,A5084001641,94
12,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
13,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
14,caroline colijn,caroline coljin,A5091754800,A5019122524,93
15,caroline colijn,caroline colijin,A5091754800,A5092252314,97
16,yuxi chen,xi chen,A5100764265,A5100690182,88
17,brian e conway,brian conway,A5109163734,A5101537673,92
18,david c clarke,dave c clarke,A5062270975,A5112840346,89
19,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
20,anita t coté,anita coté,A5072214202,A5066224186,91
21,daniel chang,daniel chiang,A5044668950,A5006979877,96
22,qimin chen,imin chen,A5069419461,A5024124555,95
23,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
24,stephanie j cooper,stephanie cooper,A5103638663,A5111618796,94
25,dave clarke,dave c clarke,A5075735110,A5112840346,92
26,caroline coljin,caroline colijin,A5019122524,A5092252314,97
27,hugo cardoso,hugo fv cardoso,A5102492080,A5078265907,89
28,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
29,andréanne doyon,andreanne doyon,A5020845547,A5106389029,93
30,thomas donaldson,tom donaldson,A5002800300,A5046128130,90
31,clara vada etter,clara v etter,A5077611536,A5068946645,90
32,richard g frank,richard frank,A5018486913,A5030367930,93
33,faranak farzan,farnak farzan,A5015821361,A5016330282,96
34,andrei v frolov,andrei v frolovand,A5036300411,A5047401072,91
35,henry a finn,henry finn,A5029860397,A5080374417,91
36,ron ferguson,arron ferguson,A5113563751,A5037222281,92
37,sina fatolahzadeh,s fatolahzadeh,A5028619456,A5106384340,90
38,biruté m f galdikas,birute mary f galdikas,A5110301419,A5110389729,88
39,alissa greer,alissa m greer,A5037509232,A5102942084,92
40,daniel r y gan,daniel ry gan,A5075926575,A5091261371,96
41,shreemouna gurung,sheemouna gurung,A5088826260,A5114125674,97
42,bhargav gadhvi,bhargav gadhavi,A5024718097,A5067698309,97
43,h dan gibson,h daniel gibson,A5062475859,A5022558865,89
44,wanhaoyi geng,wanhayoi geng,A5069750402,A5058844042,92
45,fh garcia,f h garcia,A5085198235,A5006750915,95
46,andrew b harris,andrew harries,A5011644095,A5002454592,90
47,michael d hathaway,michael j hathaway,A5035254678,A5006660476,94
48,x joan hu,joan hu,A5045961414,A5111259476,88
49,carlos a sierra hernandez,carlos sierra hernandez,A5019781908,A5002843048,96
50,k hudson,kh hudson,A5006846901,A5035794293,94
51,kassia hayek,kassia hyek,A5009358287,A5086460354,96
52,ric hohn,ric e hohn,A5082680867,A5110946665,89
53,roumi ilieva,roumiana ilieva,A5059056746,A5107019523,89
54,valentin jaumouillé,valentin jamouille,A5001004675,A5108922685,92
55,ng jensen,g jensen,A5086281143,A5003321247,94
56,worawee janpongsri,worawee japongsori,A5062405993,A5001455481,94
57,dominic j jaworski,dominic jaworiski,A5085766291,A5119544262,91
58,mohammad mahdi jahanara,mohammadmahdi jahanara,A5069061274,A5089156226,98
59,joshua kanaganayagam,josh kanaganayagam,A5039370835,A5034727559,95
60,jacob kemp,jacob m kemp,A5103256265,A5087289082,91
61,nn kinloch,n kinloch,A5055547267,A5071349214,95
62,kauʻi keliipio,m kaui keliipio,A5059859936,A5045101026,90
63,angela kaida,angela kaidaon,A5091089188,A5095333481,92
64,b liu,b lu,A5114378471,A5067826387,89
65,cheng li,cheng lit,A5100354297,A5094001550,94
66,kelley lee,kelsey lee,A5019363540,A5047999240,90
67,alexandra lysova,alexandra v lysova,A5088763872,A5096742315,94
68,sabrina s m lee,sabrina sm lee,A5080857003,A5079701172,97
69,n lehmann,k lehmann,A5107889357,A5105764596,89
70,luyao lin,leyao lin,A5062615947,A5025114845,89
71,elfituri s lahemer,elfituri lahamer,A5032341373,A5055198520,88
72,john j mcdonald,john a macdonald,A5077824553,A5103468821,90
73,mark mahadeo,mark n mahadeo,A5012970291,A5086131135,92
74,klinsmann j coelho silva meneses,klinsmann j coelho silva menes,A5062290806,A5093260777,97
75,finlay c macnab,finlay macnab,A5067609189,A5054475200,93
76,anne‐marie nicol,anne marie nicol,A5110840814,A5113313391,94
77,anne‐marie nicol,anne-marie nicole,A5110840814,A5113360973,91
78,anne marie nicol,anne-marie nicole,A5113313391,A5113360973,91
