,name1,name2,id1,id2,similarity_score
0,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5093769593,92
1,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
2,joshua d alampi,josh alampi,A5005530879,A5064096264,85
3,sean c anderson,aspen anderson,A5081686405,A5019882570,83
4,ivan v bajić,lvan v bajic,A5012187461,A5093208285,83
5,mark a brockman,ma brockman,A5021397351,A5062945775,85
6,andrew p blaber,andrew phillip blaber,A5111618673,A5113110122,83
7,christopher beh,christopher buse,A5012256170,A5118970217,90
8,tom c brown,tom brown,A5112796676,A5078745916,90
9,andreǐ a bulatov,andreĭ a bulatov,A5103266587,A5108247017,94
10,megan barker,megan k barker,A5056468452,A5054202306,92
11,tim u h baumeister,tim baumeister,A5019595229,A5058323325,88
12,andreea bratu,andreea barbu,A5064542404,A5098667658,85
13,jil a busmann,jil busmann,A5072224327,A5074527350,92
14,scott e bernstein,scott bernstein,A5057881599,A5002125273,94
15,alishba bibal,alishba bilal,A5115512232,A5112957369,92
16,ignacio calderon de la barca,igacio calderon de la barca,A5017248675,A5050733708,98
17,z brumme,zl brumme,A5075252668,A5084001641,94
18,mirzafaisal beg,mirza faisal beg,A5104015115,A5000972836,97
19,john j clague,j j clague,A5090873433,A5000296592,87
20,jennifer a chan,jennifer c y chan,A5067228740,A5029500670,88
21,caroline colijn,caroline coljin,A5091754800,A5019122524,93
22,caroline colijn,caroline colijin,A5091754800,A5092252314,97
23,yuxi chen,xi chen,A5100764265,A5100690182,88
24,brian e conway,brian conway,A5109163734,A5101537673,92
25,david c clarke,dave c clarke,A5062270975,A5112840346,89
26,teresa cheung,tessa cheng,A5077739432,A5051697024,83
27,teresa cheung,teresa p cheung,A5077739432,A5079537793,93
28,anita t coté,anita coté,A5072214202,A5066224186,91
29,stephen choi,stephen collis,A5046677225,A5015481958,85
30,daniel chang,dave chang,A5044668950,A5011390842,82
31,daniel chang,daniel chiang,A5044668950,A5006979877,96
32,si chen,xi chen,A5100366176,A5100690182,86
33,kristin chong,christine chuong,A5104109440,A5083724661,83
34,qimin chen,imin chen,A5069419461,A5024124555,95
35,maude comtois‐cabana,maude comtois cabana,A5071955961,A5007654876,95
36,a carr,a carter,A5081082111,A5004107679,86
37,stephanie j cooper,stephanie cooper,A5103638663,A5111618796,94
38,dave clarke,dave c clarke,A5075735110,A5112840346,92
39,caroline coljin,caroline colijin,A5019122524,A5092252314,97
40,hugo cardoso,hugo fv cardoso,A5102492080,A5078265907,89
41,sam m doesburg,sam doesburg,A5081393957,A5022796523,92
42,garth w p davies,garth davies,A5061377171,A5104079126,86
43,nilgun donmez,anil donmez,A5053611147,A5027106147,83
44,andréanne doyon,andré doyon,A5020845547,A5066893131,85
45,andréanne doyon,andreanne doyon,A5020845547,A5106389029,93
46,thomas donaldson,tom donaldson,A5002800300,A5046128130,90
47,clara vada etter,clara v etter,A5077611536,A5068946645,90
48,richard g frank,richard frank,A5018486913,A5030367930,93
49,faranak farzan,farnak farzan,A5015821361,A5016330282,96
50,andrei v frolov,andrei v frolovand,A5036300411,A5047401072,91
51,henry a finn,henry finn,A5029860397,A5080374417,91
52,ron ferguson,arron ferguson,A5113563751,A5037222281,92
53,sina fatolahzadeh,s fatolahzadeh,A5028619456,A5106384340,90
54,reza farzam,r farzam,A5061603743,A5092972281,84
55,susanne w fietz,w susanne fietz,A5093010858,A5052771299,87
56,biruté m f galdikas,birute mary f galdikas,A5110301419,A5110389729,88
57,alissa greer,alissa m greer,A5037509232,A5102942084,92
58,daniel r y gan,daniel ry gan,A5075926575,A5091261371,96
59,thomas gunton,tom gunton,A5059560375,A5113412320,87
60,shreemouna gurung,sheemouna gurung,A5088826260,A5114125674,97
61,bhargav gadhvi,bhargav gadhavi,A5024718097,A5067698309,97
62,h dan gibson,h daniel gibson,A5062475859,A5022558865,89
63,david j green,d j green,A5027361434,A5022328570,82
64,emma griggs,e griggs,A5048222452,A5096227643,84
65,wanhaoyi geng,wanhayoi geng,A5069750402,A5058844042,92
66,fh garcia,f h garcia,A5085198235,A5006750915,95
67,andrew b harris,andrew harries,A5011644095,A5002454592,90
68,b heinrich,brett heinrich,A5062467718,A5113965832,83
69,laura k hilton,l k hilton,A5013858831,A5088639771,83
70,michael d hathaway,michael j hathaway,A5035254678,A5006660476,94
71,x joan hu,joan hu,A5045961414,A5111259476,88
72,yang he,yuliang he,A5101932345,A5075080679,82
73,richard e hohn,ric e hohn,A5046358294,A5110946665,83
74,carlos a sierra hernandez,carlos sierra hernandez,A5019781908,A5002843048,96
75,k hudson,kh hudson,A5006846901,A5035794293,94
76,kassia hayek,kassia hyek,A5009358287,A5086460354,96
77,jonathan han,jonathan hartt,A5081367616,A5093496417,85
78,ric hohn,ric e hohn,A5082680867,A5110946665,89
79,roumi ilieva,roumiana ilieva,A5059056746,A5107019523,89
80,valentin jaumouillé,valentin jamouille,A5001004675,A5108922685,92
81,ng jensen,g jensen,A5086281143,A5003321247,94
