Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches,fi_ln
"Mori, D.",665,2025,39801,59.9,3.67,95,56779709600,https://www.scopus.com/authid/detail.url?authorId=56779709600,Simon Fraser University,mori,m,d,d mori,[],d mori
"van Nieuwkoop, J.",559,2023,42827,76.6,4.57,108,55573054900,https://www.scopus.com/authid/detail.url?authorId=55573054900,Simon Fraser University,van nieuwkoop,v,j,j van nieuwkoop,[],j van nieuwkoop
"Horton, Arthur J.",494,2023,35783,72.4,4.23,95,36898362900,https://www.scopus.com/authid/detail.url?authorId=36898362900,Simon Fraser University,horton,h,arthur j,arthur j horton,[],a horton
"Bahrasemani, H.",466,2025,26153,56.1,3.44,86,57194525595,https://www.scopus.com/authid/detail.url?authorId=57194525595,Simon Fraser University,bahrasemani,b,h,h bahrasemani,[],h bahrasemani
"Danninger, Matthias",424,2025,8812,20.8,2.44,110,26221746900,https://www.scopus.com/authid/detail.url?authorId=26221746900,Simon Fraser University,danninger,d,matthias,matthias danninger,[],m danninger
"Jaeger, B. P.",423,2025,12685,30.0,2.85,55,57210340534,https://www.scopus.com/authid/detail.url?authorId=57210340534,Simon Fraser University,jaeger,j,b p,b p jaeger,[],b jaeger
"Lehmann, Konstantin",405,2025,17373,42.9,3.24,70,57203301415,https://www.scopus.com/authid/detail.url?authorId=57203301415,Simon Fraser University,lehmann,l,konstantin,konstantin lehmann,[],k lehmann
"Drechsler, E.",359,2025,14113,39.3,3.18,99,56611843700,https://www.scopus.com/authid/detail.url?authorId=56611843700,Simon Fraser University,drechsler,d,e,e drechsler,[],e drechsler
"Dreyer, Etienne",359,2025,18835,52.5,3.32,75,57189975589,https://www.scopus.com/authid/detail.url?authorId=57189975589,Weizmann Institute of Science,dreyer,d,etienne,etienne dreyer,[],e dreyer
"Montalbano, Alyssa",355,2025,18184,51.2,3.28,94,56397908300,https://www.scopus.com/authid/detail.url?authorId=56397908300,Simon Fraser University,montalbano,m,alyssa,alyssa montalbano,[],a montalbano
"Temple, D.",313,2023,21763,69.5,4.01,80,56893265300,https://www.scopus.com/authid/detail.url?authorId=56893265300,Simon Fraser University,temple,t,d,d temple,[],d temple
"Burzynski, Jackson Carl",274,2025,3325,12.1,2.17,55,57210335824,https://www.scopus.com/authid/detail.url?authorId=57210335824,Simon Fraser University,burzynski,b,jackson carl,jackson carl burzynski,[],j burzynski
"Singh, Shuvay",265,2025,8423,31.8,2.98,48,59156749500,https://www.scopus.com/authid/detail.url?authorId=59156749500,Brandeis University,singh,s,shuvay,shuvay singh,[],s singh
"Andreoiu, Corina A.",157,2025,1764,11.2,0.69,32,7003934114,https://www.scopus.com/authid/detail.url?authorId=7003934114,Simon Fraser University,andreoiu,a,corina a,corina a andreoiu,[],c andreoiu
"Clague, John Joseph",150,2025,4919,32.8,2.61,57,7102359243,https://www.scopus.com/authid/detail.url?authorId=7102359243,Simon Fraser University,clague,c,john joseph,john joseph clague,[],j clague
"Sarunic, Marinko V.",127,2024,3024,23.8,1.44,43,6508176087,https://www.scopus.com/authid/detail.url?authorId=6508176087,University College London,sarunic,s,marinko v,marinko v sarunic,[],m sarunic
"Antle, Alissa Nicole",103,2025,1284,12.5,1.19,32,15060073500,https://www.scopus.com/authid/detail.url?authorId=15060073500,Simon Fraser University,antle,a,alissa nicole,alissa nicole antle,[],a antle
"Sheppard, D. J.",93,2025,245,2.6,1.23,7,58638292100,https://www.scopus.com/authid/detail.url?authorId=58638292100,Simon Fraser University,sheppard,s,d j,d j sheppard,[],d sheppard
"Chaudhury, Habib Sadat",83,2025,1981,23.9,2.12,33,9039040400,https://www.scopus.com/authid/detail.url?authorId=9039040400,Simon Fraser University,chaudhury,c,habib sadat,habib sadat chaudhury,[],h chaudhury
"Wister, Andrew Victor",82,2025,1729,21.1,1.55,30,6701495089,https://www.scopus.com/authid/detail.url?authorId=6701495089,Simon Fraser University,wister,w,andrew victor,andrew victor wister,[],a wister
"Card, Kiffer George",78,2025,778,10.0,1.09,20,57188649371,https://www.scopus.com/authid/detail.url?authorId=57188649371,Simon Fraser University,card,c,kiffer george,kiffer george card,[],k card
