Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile,Primary author affiliation*,last_name,last_init,first_names,name_raw,potential_matches,fi_ln
"van Nieuwkoop, J.",559,2023,42827,76.6,4.57,108,55573054900,https://www.scopus.com/authid/detail.url?authorId=55573054900,Simon Fraser University,van nieuwkoop,v,j,j van nieuwkoop,[],j van nieuwkoop
"Sarunic, Marinko V.",127,2024,3024,23.8,1.44,43,6508176087,https://www.scopus.com/authid/detail.url?authorId=6508176087,University College London,sarunic,s,marinko v,marinko v sarunic,[],m sarunic
"Wister, Andrew Victor",82,2025,1729,21.1,1.55,30,6701495089,https://www.scopus.com/authid/detail.url?authorId=6701495089,Simon Fraser University,wister,w,andrew victor,andrew victor wister,[],a wister
"Gutman, G. M.",38,2025,341,9.0,0.67,20,34769660700,https://www.scopus.com/authid/detail.url?authorId=34769660700,Simon Fraser University,gutman,g,g m,g m gutman,[],g gutman
"Sahinalp, Suleyman Cenk",38,2023,1909,50.2,4.08,22,57221592020,https://www.scopus.com/authid/detail.url?authorId=57221592020,National Institutes of Health,sahinalp,s,suleyman cenk,suleyman cenk sahinalp,[],s sahinalp
"M. Webster, Glenys M.",36,2023,2614,72.6,2.71,33,55553738719,https://www.scopus.com/authid/detail.url?authorId=55553738719,Simon Fraser University,m webster,m,glenys m,glenys m m webster,[],g m webster
"Marlene Marie Moretti, Marlene M.",35,2025,556,15.9,1.61,28,7102632689,https://www.scopus.com/authid/detail.url?authorId=7102632689,Simon Fraser University,marlene marie moretti,m,marlene m,marlene m marlene marie moretti,[],m marlene marie moretti
"Michael E. Hayden, Michael Edward",33,2025,1030,31.2,1.7,29,55641501800,https://www.scopus.com/authid/detail.url?authorId=55641501800,Simon Fraser University,michael e hayden,m,michael edward,michael edward michael e hayden,[],m michael e hayden
"Cenk Sahinalp, S. Cenk",31,2020,4698,151.5,5.82,57,6603800467,https://www.scopus.com/authid/detail.url?authorId=6603800467,Indiana University Bloomington,cenk sahinalp,c,s cenk,s cenk cenk sahinalp,[],s cenk sahinalp
"Wang, Fangxing",29,2022,1141,39.3,3.26,22,57201917282,https://www.scopus.com/authid/detail.url?authorId=57201917282,"The Chinese University of Hong Kong, Shenzhen",wang,w,fangxing,fangxing wang,[],f wang
"Lysova, Aleksandra Vladimirovna",29,2025,300,10.3,1.42,12,24477831600,https://www.scopus.com/authid/detail.url?authorId=24477831600,Simon Fraser University,lysova,l,aleksandra vladimirovna,aleksandra vladimirovna lysova,[],a lysova
"Lord Ferguson, Sarah T.",25,2025,268,10.7,1.31,10,57200553348,https://www.scopus.com/authid/detail.url?authorId=57200553348,Simon Fraser University,lord ferguson,l,sarah t,sarah t lord ferguson,[],s lord ferguson
